sport,severity,issue_type,file,source,date,event_key,matchup_key,selection,player_key,details,count
MLB,WARN,null selection,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:LAA@CHW,MLB:2026:04:27:CHW-LAA,,,,1
MLB,WARN,missing player_key on prop,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:LAA@CHW,MLB:2026:04:27:CHW-LAA,,,,1
MLB,WARN,null selection,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:LAA@CHW,MLB:2026:04:27:CHW-LAA,,,,1
MLB,WARN,null line where line is required,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:LAA@CHW,MLB:2026:04:27:CHW-LAA,,,market_type=player_prop,1
MLB,WARN,missing player_key on prop,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:LAA@CHW,MLB:2026:04:27:CHW-LAA,,,,1
MLB,WARN,null selection,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:LAA@CHW,MLB:2026:04:27:CHW-LAA,,,,1
MLB,WARN,null line where line is required,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:LAA@CHW,MLB:2026:04:27:CHW-LAA,,,market_type=player_prop,1
MLB,WARN,missing player_key on prop,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:LAA@CHW,MLB:2026:04:27:CHW-LAA,,,,1
MLB,WARN,null selection,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:LAA@CHW,MLB:2026:04:27:CHW-LAA,,,,1
MLB,WARN,null line where line is required,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:LAA@CHW,MLB:2026:04:27:CHW-LAA,,,market_type=player_prop,1
MLB,WARN,missing player_key on prop,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:LAA@CHW,MLB:2026:04:27:CHW-LAA,,,,1
MLB,WARN,null selection,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:LAA@CHW,MLB:2026:04:27:CHW-LAA,,,,1
MLB,WARN,null line where line is required,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:LAA@CHW,MLB:2026:04:27:CHW-LAA,,,market_type=player_prop,1
MLB,WARN,missing player_key on prop,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:SEA@MIN,MLB:2026:04:27:MIN-SEA,,,,1
MLB,WARN,null selection,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:SEA@MIN,MLB:2026:04:27:MIN-SEA,,,,1
MLB,WARN,null line where line is required,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:SEA@MIN,MLB:2026:04:27:MIN-SEA,,,market_type=player_prop,1
MLB,WARN,null selection,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:SEA@MIN,MLB:2026:04:27:MIN-SEA,,,,1
MLB,WARN,missing player_key on prop,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:SEA@MIN,MLB:2026:04:27:MIN-SEA,,,,1
MLB,WARN,null selection,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:SEA@MIN,MLB:2026:04:27:MIN-SEA,,,,1
MLB,WARN,null line where line is required,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:SEA@MIN,MLB:2026:04:27:MIN-SEA,,,market_type=player_prop,1
MLB,WARN,missing player_key on prop,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:SEA@MIN,MLB:2026:04:27:MIN-SEA,,,,1
MLB,WARN,null selection,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:SEA@MIN,MLB:2026:04:27:MIN-SEA,,,,1
MLB,WARN,null line where line is required,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:SEA@MIN,MLB:2026:04:27:MIN-SEA,,,market_type=player_prop,1
MLB,WARN,missing player_key on prop,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:BOS@TOR,MLB:2026:04:27:BOS-TOR,,,,1
MLB,WARN,null selection,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:BOS@TOR,MLB:2026:04:27:BOS-TOR,,,,1
MLB,WARN,null line where line is required,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:BOS@TOR,MLB:2026:04:27:BOS-TOR,,,market_type=player_prop,1
MLB,WARN,missing player_key on prop,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:BOS@TOR,MLB:2026:04:27:BOS-TOR,,,,1
MLB,WARN,null selection,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:BOS@TOR,MLB:2026:04:27:BOS-TOR,,,,1
MLB,WARN,null line where line is required,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:BOS@TOR,MLB:2026:04:27:BOS-TOR,,,market_type=player_prop,1
MLB,WARN,missing player_key on prop,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:BOS@TOR,MLB:2026:04:27:BOS-TOR,,,,1
MLB,WARN,null selection,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:BOS@TOR,MLB:2026:04:27:BOS-TOR,,,,1
MLB,WARN,null line where line is required,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:BOS@TOR,MLB:2026:04:27:BOS-TOR,,,market_type=player_prop,1
MLB,WARN,missing player_key on prop,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:BOS@TOR,MLB:2026:04:27:BOS-TOR,,,,1
MLB,WARN,null selection,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:BOS@TOR,MLB:2026:04:27:BOS-TOR,,,,1
MLB,WARN,null line where line is required,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:BOS@TOR,MLB:2026:04:27:BOS-TOR,,,market_type=player_prop,1
MLB,WARN,missing player_key on prop,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:BOS@TOR,MLB:2026:04:27:BOS-TOR,,,,1
MLB,WARN,null selection,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:BOS@TOR,MLB:2026:04:27:BOS-TOR,,,,1
MLB,WARN,null line where line is required,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:BOS@TOR,MLB:2026:04:27:BOS-TOR,,,market_type=player_prop,1
