sport,source_combo,source,market_type,n,wins,losses,pushes,win_rate,units,roi,avg_odds,confidence_bucket
NBA,action|betql,betql,total,3,2,1,0,0.6667,0.79,0.2633,-115.0,very_low
NBA,action|betql|bettingpros_experts|oddstrader|vegasinsider,action,spread,1,0,1,0,0.0,-1.05,-1.05,-110.0,very_low
NBA,action|betql|bettingpros_experts|oddstrader|vegasinsider,action|betql|bettingpros_experts|oddstrader|vegasinsider,spread,1,0,1,0,0.0,-1.05,-1.05,-110.0,very_low
NBA,action|betql|bettingpros_experts|oddstrader|vegasinsider,betql,spread,1,0,1,0,0.0,-1.05,-1.05,-110.0,very_low
NBA,action|betql|bettingpros_experts|oddstrader|vegasinsider,bettingpros_experts,spread,1,0,1,0,0.0,-1.05,-1.05,-110.0,very_low
NBA,action|betql|bettingpros_experts|oddstrader|vegasinsider,oddstrader,spread,1,0,1,0,0.0,-1.05,-1.05,-110.0,very_low
NBA,action|betql|bettingpros_experts|oddstrader|vegasinsider,vegasinsider,spread,1,0,1,0,0.0,-1.05,-1.05,-110.0,very_low
NBA,action|betql|covers|sportsline|vegasinsider,action,spread,1,0,1,0,0.0,-1.05,-1.05,-110.0,very_low
NBA,action|betql|covers|sportsline|vegasinsider,action|betql|covers|sportsline|vegasinsider,spread,1,0,1,0,0.0,-1.05,-1.05,-110.0,very_low
NBA,action|betql|covers|sportsline|vegasinsider,betql,spread,1,0,1,0,0.0,-1.05,-1.05,-110.0,very_low
NBA,action|betql|covers|sportsline|vegasinsider,covers,spread,1,0,1,0,0.0,-1.05,-1.05,-110.0,very_low
NBA,action|betql|covers|sportsline|vegasinsider,sportsline,spread,1,0,1,0,0.0,-1.05,-1.05,-110.0,very_low
NBA,action|betql|covers|sportsline|vegasinsider,vegasinsider,spread,1,0,1,0,0.0,-1.05,-1.05,-110.0,very_low
NBA,action|betql|oddstrader|sportsline|vegasinsider,action,spread,1,1,0,0,1.0,0.95,0.955,-110.0,very_low
NBA,action|betql|oddstrader|sportsline|vegasinsider,action|betql|oddstrader|sportsline|vegasinsider,spread,1,1,0,0,1.0,0.95,0.955,-110.0,very_low
NBA,action|betql|oddstrader|sportsline|vegasinsider,betql,spread,1,1,0,0,1.0,0.95,0.955,-110.0,very_low
NBA,action|betql|oddstrader|sportsline|vegasinsider,oddstrader,spread,1,1,0,0,1.0,0.95,0.955,-110.0,very_low
NBA,action|betql|oddstrader|sportsline|vegasinsider,sportsline,spread,1,1,0,0,1.0,0.95,0.955,-110.0,very_low
NBA,action|betql|oddstrader|sportsline|vegasinsider,vegasinsider,spread,1,1,0,0,1.0,0.95,0.955,-110.0,very_low
NBA,action|betql|sportsline,action,total,1,0,1,0,0.0,-1.05,-1.05,-110.0,very_low
NBA,action|betql|sportsline,action|betql|sportsline,total,1,0,1,0,0.0,-1.05,-1.05,-110.0,very_low
NBA,action|betql|sportsline,betql,total,1,0,1,0,0.0,-1.05,-1.05,-110.0,very_low
