pick_id,date,sport,game_label,bet_label,market,selection,line,auto_tier,tier_reason,support_count,pattern_name,auto_included,wilson_score,confidence_score,gate_reason,source_list
e8b5e59fad9aeccdfb03e7736bd9b251c05a0b9dd2b03f6578f0c46e6343c770,2026-04-09,NBA,MIA @ TOR,Brandon Ingram OVER 20.5 points,player_prop,NBA:brandon_ingram::points::OVER,20.5,A,"A:, pattern 'Mike Barner [sportsline] player_prop' (173-133, 56.5%), Wilson 0.568, 1 source, record 457-400 (53.3%, n=857, combo_market_stat), confidence 57/100, adj: recency +0.020, expert +0.015, stat +0.010, line_bucket +0.010",1,Mike Barner [sportsline] player_prop,True,0.5681,57,,sportsline
c577560274ccd8a3f190df1b639503de31f6233c0891bfa697b15f1426161483,2026-04-09,NBA,MIA @ TOR,Scottie Barnes UNDER 7.5 rebounds,player_prop,NBA:scottie_barnes::rebounds::UNDER,7.5,A,"A:, pattern 'OddsTrader AI [oddstrader] player_prop' (35-17, 67.3%), Wilson 0.545, 1 source, record 40-23 (63.5%, n=63, combo_market_stat), confidence 45/100, adj: recency +0.030, stat +0.010, line_bucket +0.010",1,OddsTrader AI [oddstrader] player_prop,True,0.5449,45,,oddstrader
b9d8b17c73653f5ade7eb9c7bf5eee2a0674dce5ded0729aa0c139adb0ce8b32,2026-04-09,NBA,MIA @ TOR,Donovan Mitchell UNDER 5.5 assists,player_prop,NBA:donovan_mitchell::assists::UNDER,5.5,A,"A:, pattern 'OddsTrader assists prop UNDER' (23-11, 67.6%), Wilson 0.483, 1 source, record 31-26 (54.4%, n=57, combo_market_stat), confidence 12/100, adj: recency -0.020, line_bucket +0.010",1,OddsTrader assists prop UNDER,True,0.4829,12,,oddstrader
13adedfa98371653f59c528d0cb35adb130a9d8904d5d40616fbb60a8e8bcb03,2026-04-09,NBA,PHI @ HOU,HOU -6 (PHI@HOU),spread,HOU,-6.0,B,"B:, no pattern match, Wilson 0.574, 3 sources, record 141-132 (52.2%, n=273, consensus_market), confidence 60/100, adj: line_bucket +0.010",3,,True,0.5742,60,,betql|covers|sportsline
9c1cb3544913acb08bb91051aeffbc3fecdaa78f7bdf9480093a0806323fff81,2026-04-09,NBA,MIA @ TOR,Rj Barrett UNDER 30.5 pts+reb+ast,player_prop,NBA:rj_barrett::pts_reb_ast::UNDER,30.5,B,"B:, pattern 'sportsline pts+reb+ast prop UNDER' (81-48, 62.8%), Wilson 0.551, 1 source, record 139-101 (57.9%, n=240, combo_market_stat), confidence 48/100, adj: expert +0.015, stat +0.010, line_bucket +0.010",1,sportsline pts+reb+ast prop UNDER,True,0.5513,48,,sportsline
9d0b6b63f7f4ca5020bcf08a28b9122cb9a75f34c3124f8435e0f741c77f0199,2026-04-09,NBA,LAL @ GSW,Gui Santos OVER 11.5 points,player_prop,NBA:gui_santos::points::OVER,11.5,B,"B:, no pattern match, Wilson 0.544, 2 sources, record 38-21 (65.5%, n=59, combo_overall), confidence 44/100, adj: recency +0.030, stat +0.010, line_bucket +0.010",2,,True,0.5444,44,,action|vegasinsider
d3a8d3b6b1c7f9c90aa1eb373ad2c6a25aba00be453f69251b9d5ac21460d10c,2026-04-09,NBA,BOS @ NYK,Jalen Brunson OVER 10.5 reb+ast,player_prop,NBA:jalen_brunson::reb_ast::OVER,10.5,B,"B:, pattern 'OddsTrader AI [oddstrader] player_prop' (135-119, 53.1%), Wilson 0.515, 1 source, record 160-128 (55.6%, n=288, combo_market_stat), confidence 29/100, adj: stat +0.010, line_bucket +0.010",1,OddsTrader AI [oddstrader] player_prop,True,0.5148,29,,oddstrader
733df85cb76844570ea14583f9e36ac37d387c28ebae80e935d137d5191a9588,2026-04-09,NBA,MIA @ TOR,Norman Powell OVER 4.5 reb+ast,player_prop,NBA:norman_powell::reb_ast::OVER,4.5,B,"B:, pattern 'OddsTrader AI [oddstrader] player_prop' (135-119, 53.1%), Wilson 0.515, 1 source, record 160-128 (55.6%, n=288, combo_market_stat), confidence 29/100, adj: stat +0.010, line_bucket +0.010",1,OddsTrader AI [oddstrader] player_prop,True,0.5148,29,,oddstrader
a951d0e15c291d38fef00bf0c55b1d773add27842ce61dab1612f7f2e1f80d5e,2026-04-09,NBA,MIA @ TOR,Donovan Mitchell UNDER 8.5 reb+ast,player_prop,NBA:donovan_mitchell::reb_ast::UNDER,8.5,B,"B:, pattern 'OddsTrader reb+ast prop UNDER' (16-8, 66.7%), Wilson 0.515, 1 source, record 160-128 (55.6%, n=288, combo_market_stat), confidence 29/100, adj: stat +0.010, line_bucket +0.010",1,OddsTrader reb+ast prop UNDER,True,0.5148,29,,oddstrader
08d526fe9fb9aab1348cdca124bdf2a668d026366146b4c06cc5c104bbe833c6,2026-04-09,NBA,? @ ?,M Bridges OVER 12.5 points,player_prop,NBA:m_bridges::points::OVER,12.5,B,"B:, no pattern match, Wilson 0.514, 2 sources, record 469-428 (52.6%, n=897, consensus_market_stat), confidence 28/100, adj: stat +0.010, line_bucket +0.010",2,,True,0.5138,28,,bettingpros_props|covers
55bd8a6846f5de2ed43c78b119aec3f4a346462158c6fdbcb665041cf256bea4,2026-04-09,NBA,PHI @ HOU,Tyrese Maxey UNDER 10.5 reb+ast,player_prop,NBA:tyrese_maxey::reb_ast::UNDER,10.5,B,"B:, pattern 'Markus Markets (expert)' (131-93, 58.5%), Wilson 0.511, 1 source, record 131-93 (58.5%, n=224, pattern_hist), confidence 27/100, adj: recency -0.020, expert +0.015, stat +0.010, line_bucket +0.010",1,Markus Markets (expert),True,0.511,27,,action
