pick_id,date,sport,game_label,bet_label,market,selection,line,auto_tier,tier_reason,support_count,pattern_name,auto_included,wilson_score,confidence_score,gate_reason,source_list
a4e1333701eff4484bf7d65ff003338d4ad33932bd2e618ce227f226566b107a,2026-04-08,NBA,POR @ SAS,Keldon Johnson OVER 5.5 rebounds,player_prop,NBA:keldon_johnson::rebounds::OVER,5.5,B,"B:, pattern 'sportsline player prop OVER' (775-682, 53.2%), Wilson 0.552, 1 source, record 91-89 (50.6%, n=180, combo_market_stat), confidence 48/100, adj: recency +0.030, stat +0.010, line_bucket +0.010",1,sportsline player prop OVER,True,0.5518,48,,sportsline
66abe129e3cc4eb44b18ef3273add530b00bc31c141240f97462bb4b6e5b0ba2,2026-04-08,NBA,POR @ SAS,De Aaron Fox OVER 20.5 points,player_prop,NBA:de_aaron_fox::points::OVER,20.5,B,"B:, pattern 'sportsline player prop OVER' (775-682, 53.2%), Wilson 0.550, 1 source, record 464-413 (52.9%, n=877, combo_market_stat), confidence 48/100, adj: recency +0.020, stat +0.010, line_bucket +0.010",1,sportsline player prop OVER,True,0.5504,48,,sportsline
6db06bbc9ec945139a10e9b5f7384cf1ab771cce60af13985c98e6e5a9bf4aaf,2026-04-08,NBA,POR @ SAS,Jrue Holiday UNDER 18.5 points,player_prop,NBA:jrue_holiday::points::UNDER,18.5,B,"B:, pattern 'sportsline player prop UNDER' (189-130, 59.2%), Wilson 0.548, 1 source, record 464-413 (52.9%, n=877, combo_market_stat), confidence 46/100, adj: recency +0.020, stat +0.010, line_bucket +0.010",1,sportsline player prop UNDER,True,0.5476,46,,sportsline
