pick_id,date,sport,game_label,bet_label,market,selection,line,auto_tier,tier_reason,support_count,pattern_name,auto_included,wilson_score,confidence_score,gate_reason,source_list
710758b7e19ad9bbfa375c214c26a5bb41e87c6ac7c5b94d9d0f84e419ea1159,2026-04-14,NBA,? @ ?,Brandon Miller OVER 20.0 points,player_prop,NBA:brandon_miller::points::OVER,20.0,A,"A:, pattern 'Mike Barner [sportsline] player_prop' (174-133, 56.7%), Wilson 0.593, 2 sources, record 469-431 (52.5%, n=900, consensus_market_stat), confidence 70/100, adj: expert +0.015, stat +0.010, line_bucket +0.010",2,Mike Barner [sportsline] player_prop,True,0.5932,70,,bettingpros_props|sportsline
eade87ac402b03d62185693fe127a60ad0bc43e9324cb2769d4aed5287501e13,2026-04-14,NBA,MIA @ CHA,Coby White OVER 12.5 points,player_prop,NBA:coby_white::points::OVER,12.5,A,"A:, pattern 'Mike Barner [sportsline] player_prop' (174-133, 56.7%), Wilson 0.592, 2 sources, record 174-133 (56.7%, n=307, pattern_hist), confidence 69/100, adj: recency +0.030, expert +0.015, stat +0.010, line_bucket +0.010",2,Mike Barner [sportsline] player_prop,True,0.5915,69,,action|sportsline
ba59a2243454c5730eab02756a93b5a9c1dcd1e04878576af64a6e876d693538,2026-04-14,NBA,POR @ PHX,Dillon Brooks UNDER 19.5 points,player_prop,NBA:dillon_brooks::points::UNDER,19.5,A,"A:, pattern 'Alex Selesnick [sportsline] player_prop' (36-21, 63.2%), Wilson 0.566, 1 source, record 458-400 (53.4%, n=858, combo_market_stat), confidence 56/100, adj: recency +0.020, expert +0.015, stat +0.010, line_bucket +0.010",1,Alex Selesnick [sportsline] player_prop,True,0.5659,56,,sportsline
08576793277d4d958ac6a7ac0bf512bb452da86591acd4ac34239a9676c57aec,2026-04-14,NBA,MIA @ CHA,M Diabat UNDER 10.5 rebounds,player_prop,NBA:m_diabat::rebounds::UNDER,10.5,A,"A:, pattern 'OddsTrader AI [oddstrader] player_prop' (36-17, 67.9%), Wilson 0.543, 1 source, record 41-23 (64.1%, n=64, combo_market_stat), confidence 44/100, adj: recency +0.030, stat +0.010, line_bucket +0.010",1,OddsTrader AI [oddstrader] player_prop,True,0.5434,44,,oddstrader
a130ab06ec9b0ac2fa01d61bc8ccd4d62504dcbbbe55bb4b677e1c29bc1938ed,2026-04-14,NBA,MIA @ CHA,A Wiggins UNDER 13.5 points,player_prop,NBA:a_wiggins::points::UNDER,13.5,A,"A:, pattern 'BetQL Model [betql] player_prop' (2433-2203, 52.5%), Wilson 0.530, 1 source, record 3325-3143 (51.4%, n=6468, combo_market_stat), confidence 37/100, adj: recency +0.020, stat +0.010, line_bucket +0.010",1,BetQL Model [betql] player_prop,True,0.53,37,,betql
f73debab36fcd3a10ea433cacdc51bd3f58a6df8dec179436f70c09f614437fa,2026-04-14,NBA,MIA @ CHA,Moussa Diabate UNDER 8.5 points,player_prop,NBA:moussa_diabate::points::UNDER,8.5,A,"A:, pattern 'BetQL Model [betql] player_prop' (2433-2203, 52.5%), Wilson 0.530, 1 source, record 3325-3143 (51.4%, n=6468, combo_market_stat), confidence 37/100, adj: recency +0.020, stat +0.010, line_bucket +0.010",1,BetQL Model [betql] player_prop,True,0.53,37,,betql
3818453fcc94ae0e7638fe011df8e37452845d8b690c888ab2e060b61ba2e6ee,2026-04-14,NBA,POR @ PHX,Jrue Holiday UNDER 16.5 points,player_prop,NBA:jrue_holiday::points::UNDER,16.5,A,"A:, pattern 'BetQL Model [betql] player_prop' (2433-2203, 52.5%), Wilson 0.530, 1 source, record 3325-3143 (51.4%, n=6468, combo_market_stat), confidence 37/100, adj: recency +0.020, stat +0.010, line_bucket +0.010",1,BetQL Model [betql] player_prop,True,0.53,37,,betql
b07614d87f2caadce0f3eeda5a4976e073de27fbfff6b9e86910af3aa34b86c1,2026-04-14,NBA,POR @ PHX,Mark Williams UNDER 10.5 points,player_prop,NBA:mark_williams::points::UNDER,10.5,A,"A:, pattern 'BetQL Model [betql] player_prop' (2433-2203, 52.5%), Wilson 0.530, 1 source, record 3325-3143 (51.4%, n=6468, combo_market_stat), confidence 37/100, adj: recency +0.020, stat +0.010, line_bucket +0.010",1,BetQL Model [betql] player_prop,True,0.53,37,,betql
a9842830812da994a6e874340d0da879a794934e77d94dd2e6ec6e8a8c22d7ee,2026-04-14,NBA,MIA @ CHA,Bam Adebayo UNDER 10.5 rebounds,player_prop,NBA:bam_adebayo::rebounds::UNDER,10.5,A,"A:, pattern 'BetQL Model [betql] player_prop' (469-338, 58.1%), Wilson 0.507, 1 source, record 1653-1609 (50.7%, n=3262, combo_market_stat), confidence 25/100, adj: stat +0.010, line_bucket +0.010",1,BetQL Model [betql] player_prop,True,0.5075,25,,betql
f4e44c78baacd5ee59c4075862d6f5ae229636d5217c393326bd6b206107c1e5,2026-04-14,NBA,MIA @ CHA,Moussa Diabate UNDER 10.5 rebounds,player_prop,NBA:moussa_diabate::rebounds::UNDER,10.5,A,"A:, pattern 'BetQL Model [betql] player_prop' (469-338, 58.1%), Wilson 0.507, 1 source, record 1653-1609 (50.7%, n=3262, combo_market_stat), confidence 25/100, adj: stat +0.010, line_bucket +0.010",1,BetQL Model [betql] player_prop,True,0.5075,25,,betql
