pick_id,date,sport,game_label,bet_label,market,selection,line,auto_tier,tier_reason,support_count,pattern_name,auto_included,wilson_score,confidence_score,gate_reason,source_list
7361b484d623430b4874ea88039c132ea1e36b768189abfcbfaf8131d2c90bea,2026-04-07,NBA,MIN @ IND,Ayo Dosunmu OVER 16.5 points,player_prop,NBA:ayo_dosunmu::points::OVER,16.5,A,"A:, pattern 'Mike Barner [sportsline] player_prop' (170-127, 57.2%), Wilson 0.556, 2 sources, record 170-127 (57.2%, n=297, pattern_hist), confidence 50/100, adj: expert +0.015, stat +0.010, line_bucket +0.010",2,Mike Barner [sportsline] player_prop,True,0.5559,50,,action|sportsline
293299a04d71da9a59f733e205a89de65152db61722c0bafd5cf842ac2918d40,2026-04-07,NBA,CHI @ WAS,Collin Sexton UNDER 22.5 points,player_prop,NBA:collin_sexton::points::UNDER,22.5,A,"A:, pattern 'OddsTrader AI [oddstrader] player_prop' (68-38, 64.2%), Wilson 0.543, 1 source, record 93-78 (54.4%, n=171, combo_market_stat), confidence 44/100, adj: recency +0.030, stat +0.010, line_bucket +0.010",1,OddsTrader AI [oddstrader] player_prop,True,0.5433,44,,oddstrader
243377af87e96fcd8f24f3d78b35707fcfbc440ba5604608a7990975b1d09e1f,2026-04-07,NBA,CHI @ WAS,T Jones UNDER 6.5 assists,player_prop,NBA:t_jones::assists::UNDER,6.5,A,"A:, pattern 'OddsTrader assists prop UNDER' (23-11, 67.6%), Wilson 0.494, 1 source, record 31-23 (57.4%, n=54, combo_market_stat), confidence 18/100, adj: recency -0.010, line_bucket +0.010",1,OddsTrader assists prop UNDER,True,0.4938,18,,oddstrader
82e51e60c7de494ef9640f68dc70921474ac76805217232f48b9e3400da65487,2026-04-07,NBA,CHI @ WAS,Collin Sexton UNDER 3.5 assists,player_prop,NBA:collin_sexton::assists::UNDER,3.5,A,"A:, pattern 'OddsTrader assists prop UNDER' (23-11, 67.6%), Wilson 0.494, 1 source, record 31-23 (57.4%, n=54, combo_market_stat), confidence 18/100, adj: recency -0.010, line_bucket +0.010",1,OddsTrader assists prop UNDER,True,0.4938,18,,oddstrader
92715e78f5e6ddb666f3159856eec2ec4538141dc530fdb3217dda09cc6c22e1,2026-04-07,NBA,MIA @ TOR,Donovan Mitchell UNDER 5.5 assists,player_prop,NBA:donovan_mitchell::assists::UNDER,5.5,A,"A:, pattern 'OddsTrader assists prop UNDER' (23-11, 67.6%), Wilson 0.494, 1 source, record 31-23 (57.4%, n=54, combo_market_stat), confidence 18/100, adj: recency -0.010, line_bucket +0.010",1,OddsTrader assists prop UNDER,True,0.4938,18,,oddstrader
e8d5846c4d95ac1a1244de614fda8aea43cd3be12ea26500fffd92badb8e3a4f,2026-04-07,NBA,CHI @ WAS,UNDER 250.5 (CHI@WAS),total,UNDER,250.5,B,"B:, no pattern match, Wilson 0.556, 4 sources, record 11-7 (61.1%, n=18, consensus_market), confidence 51/100, adj: recency +0.030, expert -0.015, line_bucket +0.010",4,,True,0.5561,51,,betql|bettingpros_5star|dimers|oddstrader
4a0fca1f21798acd241658b01dad18bb5860ef3273028ca71497e5990fb1637a,2026-04-07,NBA,CHA @ BOS,Jayson Tatum OVER 21.5 points,player_prop,NBA:jayson_tatum::points::OVER,21.5,B,"B:, no pattern match, Wilson 0.546, 2 sources, record 507-451 (53.3%, n=958, consensus_market_stat), confidence 45/100, adj: recency +0.030, stat +0.010, line_bucket +0.010",2,,True,0.5457,45,,covers|vegasinsider
691e4d798b2a6647f0749dd23ea516d7ec1d583713d5e0628c6788e00c1b6f17,2026-04-07,NBA,UTA @ NOP,UTA +10.5 (UTA@NOP),spread,UTA,10.5,B,"B:, no pattern match, Wilson 0.537, 3 sources, record 139-140 (50.5%, n=279, consensus_market), confidence 40/100, adj: expert -0.015",3,,True,0.5368,40,,betql|covers|dimers
b90d2e2a954dc64db627a2b09c392f2d709b1557dce3ca47815e16883146b413,2026-04-07,NBA,CHA @ BOS,CHA +6.5 (CHA@BOS),spread,CHA,6.5,B,"B:, pattern 'action spread' (553-490, 53.0%), Wilson 0.533, 1 source, record 649-567 (53.5%, n=1216, combo_market), confidence 39/100, adj: recency +0.020, line_bucket +0.010",1,action spread,True,0.5333,39,,action
ca4d7e2f41fc9137d3b6046cc7ad3babe765e0c4e155c088abd9b24f44324b66,2026-04-07,NBA,CHI @ WAS,Collin Sexton UNDER 26.5 pts+ast,player_prop,NBA:collin_sexton::pts_ast::UNDER,26.5,B,"B:, pattern 'OddsTrader AI [oddstrader] player_prop' (37-25, 59.7%), Wilson 0.525, 1 source, record 37-25 (59.7%, n=62, pattern_hist), confidence 34/100, adj: recency +0.020, line_bucket +0.010",1,OddsTrader AI [oddstrader] player_prop,True,0.5248,34,,oddstrader
3d0e72aebed9266a06b8eae544a63bee8d93481b4ad55d26aa5311fbc446112b,2026-04-07,NBA,HOU @ PHX,PHX +2 (HOU@PHX),spread,PHX,2.0,B,"B:, pattern 'action spread' (553-490, 53.0%), Wilson 0.524, 1 source, record 649-567 (53.5%, n=1216, combo_market), confidence 34/100, adj: recency +0.020",1,action spread,True,0.5243,34,,action
