atomic_stat,avg_odds,bets_with_units,direction,losses,market_type,n,net_units,odds_count,odds_sum,pushes,rating_bucket,roi,source_id,total_stake,units_missing_count,wilson_lower,win_pct,wins
points,,4,PLAYER_OVER,4,player_prop,5,-4.0,0,0.0,0,unrated,-1.0,action,4.0,1,0.0362,0.2,1
points,,2,PLAYER_UNDER,2,player_prop,2,-2.0,0,0.0,0,unrated,-1.0,action,2.0,0,0.0,0.0,0
rebounds,,1,PLAYER_OVER,1,player_prop,2,-1.0,0,0.0,0,unrated,-1.0,action,1.0,1,0.0945,0.5,1
assists,,1,PLAYER_OVER,1,player_prop,1,-1.0,0,0.0,0,unrated,-1.0,action,1.0,0,0.0,0.0,0
rebounds,,1,PLAYER_UNDER,1,player_prop,1,-1.0,0,0.0,0,unrated,-1.0,action,1.0,0,0.0,0.0,0
