atomic_stat,avg_odds,bets_with_units,display_group,experts,group_size,losses,market_type,n,net_units,odds_count,odds_sum,pushes,roi,split_count,total_stake,units_missing_count,wilson_lower,win_pct,wins
,,0,Larry Hartstein[sportsline] + Thomas Casale[sportsline],"[""Larry Hartstein[sportsline]"", ""Thomas Casale[sportsline]""]",2,1,spread,1,0.0,0,0.0,0,,0,0.0,1,0.0,0.0,0
,,0,Bruce Marshall[sportsline] + Larry Hartstein[sportsline],"[""Bruce Marshall[sportsline]"", ""Larry Hartstein[sportsline]""]",2,0,spread,0,0.0,0,0.0,0,,2,0.0,0,,,0
,,0,Bruce Marshall[sportsline] + Zack Cimini[sportsline],"[""Bruce Marshall[sportsline]"", ""Zack Cimini[sportsline]""]",2,0,spread,0,0.0,0,0.0,0,,1,0.0,0,,,0
,,0,Eric Cohen[sportsline] + Zack Cimini[sportsline],"[""Eric Cohen[sportsline]"", ""Zack Cimini[sportsline]""]",2,0,moneyline,0,0.0,0,0.0,0,,1,0.0,0,,,0
,,0,Micah Roberts[sportsline] + Mike Tierney[sportsline],"[""Micah Roberts[sportsline]"", ""Mike Tierney[sportsline]""]",2,0,spread,0,0.0,0,0.0,0,,1,0.0,0,,,0
,,0,Micah Roberts[sportsline] + Zack Cimini[sportsline],"[""Micah Roberts[sportsline]"", ""Zack Cimini[sportsline]""]",2,0,spread,0,0.0,0,0.0,0,,1,0.0,0,,,0
