sport,date,player_name,player_key,team,opponent,stat_type,selection,line,odds,source,eligible_for_consensus,event_key,matchup_key
NBA,2026-04-21,Julian Champagnie,NBA:julian_champagnie,SAS,POR,pts_ast,NBA:julian_champagnie::pts_ast::OVER,10.5,100,bettingpros_props,True,NBA:2026:04:21:POR@SAS,NBA:2026:04:21:POR-SAS
NBA,2026-04-21,Jayson Tatum,NBA:jayson_tatum,BOS,PHI,pts_reb_ast,NBA:jayson_tatum::pts_reb_ast::OVER,40.5,-105,bettingpros_props,True,NBA:2026:04:21:PHI@BOS,NBA:2026:04:21:BOS-PHI
NBA,2026-04-21,Jabari Smith Jr.,NBA:jabari_smith_jr,HOU,LAL,points,NBA:jabari_smith_jr::points::OVER,14.5,-112,bettingpros_props,True,NBA:2026:04:21:HOU@LAL,NBA:2026:04:21:HOU-LAL
NBA,2026-04-21,Jabari Smith Jr.,NBA:jabari_smith_jr,HOU,LAL,pts_ast,NBA:jabari_smith_jr::pts_ast::OVER,16.5,-113,bettingpros_props,True,NBA:2026:04:21:HOU@LAL,NBA:2026:04:21:HOU-LAL
NBA,2026-04-21,Quentin Grimes,NBA:quentin_grimes,PHI,BOS,pts_reb_ast,NBA:quentin_grimes::pts_reb_ast::OVER,13.5,-110,bettingpros_props,True,NBA:2026:04:21:PHI@BOS,NBA:2026:04:21:BOS-PHI
NBA,2026-04-21,Toumani Camara,NBA:toumani_camara,POR,SAS,pts_ast,NBA:toumani_camara::pts_ast::OVER,12.5,-105,bettingpros_props,True,NBA:2026:04:21:POR@SAS,NBA:2026:04:21:POR-SAS
NBA,2026-04-21,Jabari Smith Jr.,NBA:jabari_smith_jr,HOU,LAL,pts_reb,NBA:jabari_smith_jr::pts_reb::OVER,21.5,-110,bettingpros_props,True,NBA:2026:04:21:HOU@LAL,NBA:2026:04:21:HOU-LAL
NBA,2026-04-21,Jabari Smith Jr.,NBA:jabari_smith_jr,HOU,LAL,pts_reb_ast,NBA:jabari_smith_jr::pts_reb_ast::OVER,23.5,-103,bettingpros_props,True,NBA:2026:04:21:HOU@LAL,NBA:2026:04:21:HOU-LAL
NBA,2026-04-21,Devin Vassell,NBA:devin_vassell,SAS,POR,pts_reb_ast,NBA:devin_vassell::pts_reb_ast::OVER,19.5,100,bettingpros_props,True,NBA:2026:04:21:POR@SAS,NBA:2026:04:21:POR-SAS
NBA,2026-04-21,Kevin Durant,NBA:kevin_durant,HOU,LAL,points,NBA:kevin_durant::points::OVER,23.5,104,bettingpros_props,True,NBA:2026:04:21:HOU@LAL,NBA:2026:04:21:HOU-LAL
NBA,2026-04-21,Scoot Henderson,NBA:scoot_henderson,POR,SAS,points,NBA:scoot_henderson::points::OVER,10.5,104,bettingpros_props,True,NBA:2026:04:21:POR@SAS,NBA:2026:04:21:POR-SAS
NBA,2026-04-21,Jrue Holiday,NBA:jrue_holiday,POR,SAS,pts_ast,NBA:jrue_holiday::pts_ast::OVER,21.5,-104,bettingpros_props,True,NBA:2026:04:21:POR@SAS,NBA:2026:04:21:POR-SAS
NBA,2026-04-21,Devin Vassell,NBA:devin_vassell,SAS,POR,pts_ast,NBA:devin_vassell::pts_ast::OVER,15.5,-105,bettingpros_props,True,NBA:2026:04:21:POR@SAS,NBA:2026:04:21:POR-SAS
NBA,2026-04-21,De'Aaron Fox,NBA:de_aaron_fox,SAS,POR,pts_reb,NBA:de_aaron_fox::pts_reb::OVER,21.5,-105,bettingpros_props,True,NBA:2026:04:21:POR@SAS,NBA:2026:04:21:POR-SAS
NBA,2026-04-21,Dominick Barlow,NBA:dominick_barlow,PHI,BOS,pts_reb_ast,NBA:dominick_barlow::pts_reb_ast::OVER,7.5,-105,bettingpros_props,True,NBA:2026:04:21:PHI@BOS,NBA:2026:04:21:BOS-PHI
NBA,2026-04-21,Luke Kennard,NBA:luke_kennard,LAL,HOU,pts_reb_ast,NBA:luke_kennard::pts_reb_ast::UNDER,21.5,100,bettingpros_props,True,NBA:2026:04:21:HOU@LAL,NBA:2026:04:21:HOU-LAL
NBA,2026-04-21,Payton Pritchard,NBA:payton_pritchard,BOS,PHI,points,NBA:payton_pritchard::points::OVER,14.5,-101,bettingpros_props,True,NBA:2026:04:21:PHI@BOS,NBA:2026:04:21:BOS-PHI
NBA,2026-04-21,Keldon Johnson,NBA:keldon_johnson,SAS,POR,points,NBA:keldon_johnson::points::OVER,9.5,-115,bettingpros_props,True,NBA:2026:04:21:POR@SAS,NBA:2026:04:21:POR-SAS
NBA,2026-04-21,Kevin Durant,NBA:kevin_durant,HOU,LAL,pts_reb_ast,NBA:kevin_durant::pts_reb_ast::OVER,33.5,120,bettingpros_props,True,NBA:2026:04:21:HOU@LAL,NBA:2026:04:21:HOU-LAL
NBA,2026-04-21,Quentin Grimes,NBA:quentin_grimes,PHI,BOS,points,NBA:quentin_grimes::points::OVER,8.5,-108,bettingpros_props,True,NBA:2026:04:21:PHI@BOS,NBA:2026:04:21:BOS-PHI
NBA,2026-04-21,Dominick Barlow,NBA:dominick_barlow,PHI,BOS,points,NBA:dominick_barlow::points::OVER,3.5,-134,bettingpros_props,True,NBA:2026:04:21:PHI@BOS,NBA:2026:04:21:BOS-PHI
