sport,date,source,event_key,matchup_key,game,market_type,selection,line,odds,player_name,player_key,stat_type,eligible_for_consensus,reason_if_ineligible
NBA,2026-04-25,oddstrader,NBA:2026:04:25:SAS@POR,NBA:2026:04:25:POR-SAS,SAS @ POR,player_prop,Luke Kornet under 16.5,16.5,-105,Luke Kornet,nba:luke_kornet,pts_reb,True,
NBA,2026-04-24,oddstrader,NBA:2026:04:24:DEN@MIN,NBA:2026:04:24:DEN-MIN,DEN @ MIN,player_prop,Bruce Brown over 11.5,11.5,-125,Bruce Brown,nba:bruce_brown,pts_reb_ast,True,
NBA,2026-04-23,oddstrader,NBA:2026:04:23:NYK@ATL,NBA:2026:04:23:ATL-NYK,NYK @ ATL,player_prop,Miles McBride over 7.5,7.5,-145,Miles McBride,nba:miles_mcbride,pts_reb_ast,True,
NBA,2026-04-24,oddstrader,NBA:2026:04:24:CLE@TOR,NBA:2026:04:24:CLE-TOR,CLE @ TOR,player_prop,Evan Mobley,,120,Evan Mobley,nba:evan_mobley,threes,True,
NBA,2026-04-25,oddstrader,NBA:2026:04:25:LAL@HOU,NBA:2026:04:25:HOU-LAL,LAL @ HOU,player_prop,Reed Sheppard over 14.5,14.5,-125,Reed Sheppard,nba:reed_sheppard,pts_reb_ast,True,
NBA,2026-04-23,oddstrader,NBA:2026:04:23:NYK@ATL,NBA:2026:04:23:ATL-NYK,NYK @ ATL,player_prop,Miles McBride over 6.5,6.5,-120,Miles McBride,nba:miles_mcbride,pts_ast,True,
NBA,2026-04-25,oddstrader,NBA:2026:04:25:SAS@POR,NBA:2026:04:25:POR-SAS,SAS @ POR,player_prop,Luke Kornet under 18.5,18.5,-105,Luke Kornet,nba:luke_kornet,pts_reb_ast,True,
NBA,2026-04-25,oddstrader,NBA:2026:04:25:LAL@HOU,NBA:2026:04:25:HOU-LAL,LAL @ HOU,player_prop,Reed Sheppard over 12.5,12.5,-110,Reed Sheppard,nba:reed_sheppard,pts_ast,True,
NBA,2026-04-25,oddstrader,NBA:2026:04:25:LAL@HOU,NBA:2026:04:25:HOU-LAL,LAL @ HOU,player_prop,Bronny James over 1.5,1.5,-115,Bronny James,nba:bronny_james,points,True,
NBA,2026-04-25,oddstrader,NBA:2026:04:25:SAS@POR,NBA:2026:04:25:POR-SAS,SAS @ POR,player_prop,Luke Kornet under 7.5,7.5,100,Luke Kornet,nba:luke_kornet,rebounds,True,
NBA,2026-04-24,oddstrader,NBA:2026:04:24:DEN@MIN,NBA:2026:04:24:DEN-MIN,DEN @ MIN,player_prop,Bruce Brown over 4.5,4.5,-145,Bruce Brown,nba:bruce_brown,reb_ast,True,
NBA,2026-04-24,oddstrader,NBA:2026:04:24:CLE@TOR,NBA:2026:04:24:CLE-TOR,CLE @ TOR,player_prop,Dennis Schröder over 6.5,6.5,-170,Dennis Schröder,nba:dennis_schr_der,pts_reb_ast,True,
NBA,2026-04-25,oddstrader,NBA:2026:04:25:LAL@HOU,NBA:2026:04:25:HOU-LAL,LAL @ HOU,player_prop,Jaxson Hayes over 5.5,5.5,-120,Jaxson Hayes,nba:jaxson_hayes,points,True,
NBA,2026-04-25,oddstrader,NBA:2026:04:25:DET@ORL,NBA:2026:04:25:DET-ORL,DET @ ORL,player_prop,Cade Cunningham under 37.5,37.5,-110,Cade Cunningham,nba:cade_cunningham,pts_ast,True,
NBA,2026-04-25,oddstrader,NBA:2026:04:25:SAS@POR,NBA:2026:04:25:POR-SAS,SAS @ POR,player_prop,Jerami Grant over 11.5,11.5,-125,Jerami Grant,nba:jerami_grant,pts_reb,True,
NBA,2026-04-25,oddstrader,NBA:2026:04:25:DET@ORL,NBA:2026:04:25:DET-ORL,DET @ ORL,player_prop,Cade Cunningham under 43.5,43.5,-115,Cade Cunningham,nba:cade_cunningham,pts_reb_ast,True,
NBA,2026-04-24,oddstrader,NBA:2026:04:24:DEN@MIN,NBA:2026:04:24:DEN-MIN,DEN @ MIN,player_prop,Bruce Brown over 8.5,8.5,-105,Bruce Brown,nba:bruce_brown,pts_ast,True,
NBA,2026-04-24,oddstrader,NBA:2026:04:24:DEN@MIN,NBA:2026:04:24:DEN-MIN,DEN @ MIN,player_prop,Bruce Brown over 10.5,10.5,-105,Bruce Brown,nba:bruce_brown,pts_reb,True,
NBA,2026-04-24,oddstrader,NBA:2026:04:24:DEN@MIN,NBA:2026:04:24:DEN-MIN,DEN @ MIN,player_prop,Anthony Edwards under 39.5,39.5,-125,Anthony Edwards,nba:anthony_edwards,pts_reb_ast,True,
NBA,2026-04-23,oddstrader,NBA:2026:04:23:NYK@ATL,NBA:2026:04:23:ATL-NYK,NYK @ ATL,player_prop,Dyson Daniels over 11.5,11.5,-105,Dyson Daniels,nba:dyson_daniels,reb_ast,True,
NBA,2026-04-25,oddstrader,NBA:2026:04:25:LAL@HOU,NBA:2026:04:25:HOU-LAL,LAL @ HOU,player_prop,Reed Sheppard over 8.5,8.5,-115,Reed Sheppard,nba:reed_sheppard,points,True,
NBA,2026-04-24,oddstrader,NBA:2026:04:24:DEN@MIN,NBA:2026:04:24:DEN-MIN,DEN @ MIN,player_prop,Anthony Edwards under 34.5,34.5,-120,Anthony Edwards,nba:anthony_edwards,pts_reb,True,
NBA,2026-04-25,oddstrader,NBA:2026:04:25:DET@ORL,NBA:2026:04:25:DET-ORL,DET @ ORL,player_prop,Cade Cunningham under 33.5,33.5,-115,Cade Cunningham,nba:cade_cunningham,pts_reb,True,
NBA,2026-04-25,oddstrader,NBA:2026:04:25:SAS@POR,NBA:2026:04:25:POR-SAS,SAS @ POR,player_prop,Luke Kornet under 9.5,9.5,-105,Luke Kornet,nba:luke_kornet,reb_ast,True,
