atomic_stat,avg_odds,bets_with_units,direction,losses,market_type,n,net_units,odds_count,odds_sum,pushes,rating_bucket,roi,source_id,total_stake,units_missing_count,wilson_lower,win_pct,wins
blocks,155.75,4,UNDER,1,player_prop,4,2.864,4,623.0,0,unrated,0.9121019108280255,dimers,3.1399999999999997,0,0.3006,0.75,3
threes,8.5,2,OVER,2,player_prop,4,-1.9300000000000002,2,17.0,0,unrated,-1.0,juicereel_sxebets,1.9300000000000002,2,0.15,0.5,2
,-108.0,4,CHI,2,spread,4,-0.15200000000000014,4,-432.0,0,unrated,-0.03653846153846157,oddstrader,4.16,0,0.15,0.5,2
,-112.5,3,PHX,1,spread,4,0.885,2,-225.0,0,unrated,0.28365384615384615,oddstrader,3.12,1,0.3006,0.75,3
points,-119.33333333333333,3,UNDER,1,player_prop,4,0.7370000000000001,3,-358.0,0,unrated,0.22607361963190187,sportsline,3.2600000000000002,1,0.3006,0.75,3
pts_ast,-117.75,4,UNDER,3,player_prop,4,-2.3340000000000005,4,-471.0,0,unrated,-0.5390300230946883,sportsline,4.33,0,0.0456,0.25,1
steals,-235.0,1,PLAYER_UNDER,0,player_prop,3,0.596,1,-235.0,0,unrated,0.4257142857142857,action,1.4,2,0.4385,1.0,3
threes,-29.0,3,UNDER,1,player_prop,3,-0.21999999999999997,2,-58.0,0,3_star,-0.06832298136645962,betql,3.2199999999999998,0,0.2077,0.6666666666666666,2
,,2,LAL,2,spread,3,-2.0,0,0.0,0,3_star,-1.0,betql,2.0,1,0.0615,0.3333333333333333,1
pts_reb_ast,,3,UNDER,3,player_prop,3,-2.0,0,0.0,0,4_star,-0.6666666666666666,betql,3.0,0,0.0,0.0,0
,,2,CHI,2,spread,3,-2.0,0,0.0,0,4_star,-1.0,betql,2.0,1,0.0615,0.3333333333333333,1
,,1,LAL,1,spread,3,-1.0,0,0.0,0,4_star,-1.0,betql,1.0,2,0.2077,0.6666666666666666,2
,,1,MEM,1,spread,3,-1.0,0,0.0,0,4_star,-1.0,betql,1.0,2,0.2077,0.6666666666666666,2
,,1,MIL,1,spread,3,-1.0,0,0.0,0,4_star,-1.0,betql,1.0,2,0.2077,0.6666666666666666,2
threes,172.0,3,OVER,3,player_prop,3,-2.74,1,172.0,0,5_star,-1.0,betql,2.74,0,0.0,0.0,0
,,1,HOU,1,spread,3,-1.0,0,0.0,0,5_star,-1.0,betql,1.0,2,0.2077,0.6666666666666666,2
,,2,MIL,2,spread,3,-2.0,0,0.0,0,5_star,-1.0,betql,2.0,1,0.0615,0.3333333333333333,1
assists,,2,OVER,2,player_prop,3,-2.0,0,0.0,0,unrated,-1.0,bettingpros_experts,2.0,1,0.0615,0.3333333333333333,1
pts_ast,-121.5,3,OVER,3,player_prop,3,-3.1900000000000004,2,-243.0,0,unrated,-1.0,bettingpros_experts,3.1900000000000004,0,0.0,0.0,0
,,3,UNDER,3,total,3,-3.0,0,0.0,0,unrated,-1.0,bettingpros_experts,3.0,0,0.0,0.0,0
points,,1,PLAYER_OVER,1,player_prop,3,-1.0,0,0.0,0,unrated,-1.0,covers,1.0,2,0.2077,0.6666666666666666,2
pts_reb,-114.0,3,OVER,3,player_prop,3,-3.2,3,-342.0,0,unrated,-1.0,covers,3.2,0,0.0,0.0,0
threes,-133.0,3,UNDER,2,player_prop,3,-1.3940000000000001,3,-399.0,0,unrated,-0.41120943952802363,covers,3.39,0,0.0615,0.3333333333333333,1
,-110.0,2,OVER,2,total,3,-2.1,2,-220.0,0,unrated,-1.0,covers,2.1,1,0.0615,0.3333333333333333,1
,-110.0,3,UNDER,2,total,3,-1.145,3,-330.0,0,unrated,-0.3634920634920635,covers,3.1500000000000004,0,0.0615,0.3333333333333333,1
assists,106.66666666666667,3,UNDER,3,player_prop,3,-2.92,3,320.0,0,unrated,-1.0,dimers,2.92,0,0.0,0.0,0
