atomic_stat,avg_odds,bets_with_units,direction,losses,market_type,n,net_units,odds_count,odds_sum,pushes,rating_bucket,roi,source_id,total_stake,units_missing_count,wilson_lower,win_pct,wins
,117.0,7,MEM,4,moneyline,8,-0.10900000000000015,6,702.0,0,unrated,-0.017839607201309355,dimers,6.109999999999999,1,0.2152,0.5,4
,-63.625,8,MIL,5,moneyline,8,-2.4830000000000005,8,-509.0,0,unrated,-0.2924617196702003,dimers,8.49,0,0.1368,0.375,3
,102.57142857142857,7,PHX,5,moneyline,8,-2.246,7,718.0,0,unrated,-0.35993589743589743,dimers,6.24,1,0.1368,0.375,3
rebounds,4.375,8,UNDER,1,player_prop,8,6.163,8,35.0,0,unrated,0.7860969387755102,dimers,7.84,0,0.5291,0.875,7
,14.875,8,ORL,6,spread,8,-3.5709999999999997,8,119.0,0,unrated,-0.4711081794195251,dimers,7.579999999999999,0,0.0715,0.25,2
pts_reb_ast,-118.25,8,OVER,4,player_prop,8,-0.6770000000000002,8,-946.0,0,unrated,-0.07817551963048501,juicereel_nukethebooks,8.66,0,0.2152,0.5,4
,-119.5,8,DET,4,moneyline,8,-1.3519999999999999,8,-956.0,0,unrated,-0.14459893048128344,sportsline,9.349999999999998,0,0.2152,0.5,4
,-143.625,8,OKC,2,moneyline,8,2.605,8,-1149.0,0,unrated,0.2780149413020277,sportsline,9.370000000000001,0,0.4093,0.75,6
,-155.75,8,PHX,4,moneyline,8,-1.6380000000000003,8,-1246.0,0,unrated,-0.17009345794392525,sportsline,9.63,0,0.2152,0.5,4
points_assists_rebounds,-119.375,8,OVER,3,player_prop,8,1.3089999999999995,8,-955.0,0,unrated,0.15045977011494246,sportsline,8.700000000000001,0,0.3057,0.625,5
,-108.875,9,DAL,5,spread,9,-2.2889999999999997,8,-871.0,1,unrated,-0.24507494646680938,sportsline,9.34,0,0.1368,0.375,3
,-110.0,7,PHI,3,spread,8,0.6679999999999996,7,-770.0,0,unrated,0.09088435374149655,sportsline,7.35,1,0.3057,0.625,5
,-98.75,8,POR,5,spread,8,-1.6189999999999998,8,-790.0,0,unrated,-0.21218872870249014,sportsline,7.63,0,0.1368,0.375,3
,-132.25,8,TOR,3,spread,8,1.131,8,-1058.0,0,unrated,0.1275084554678692,sportsline,8.870000000000001,0,0.3057,0.625,5
,-111.25,8,UTA,3,spread,8,1.585,8,-890.0,0,unrated,0.18801897983392646,sportsline,8.43,0,0.3057,0.625,5
,,4,MEM,4,spread,7,-4.0,0,0.0,0,5_star,-1.0,betql,4.0,3,0.1582,0.42857142857142855,3
,,5,LAL,4,spread,8,-4.0,0,0.0,1,unrated,-0.8,betql,5.0,3,0.1582,0.42857142857142855,3
,,3,MIA,3,spread,7,-3.0,0,0.0,0,unrated,-1.0,betql,3.0,4,0.2505,0.5714285714285714,4
,,3,SAS,3,spread,7,-3.0,0,0.0,0,unrated,-1.0,betql,3.0,4,0.2505,0.5714285714285714,4
,-168.66666666666666,7,ATL,4,moneyline,7,-2.454,6,-1012.0,0,unrated,-0.290414201183432,dimers,8.45,0,0.1582,0.42857142857142855,3
,-145.83333333333334,6,BOS,4,moneyline,7,-3.04,6,-875.0,0,unrated,-0.43181818181818177,dimers,7.040000000000001,1,0.1582,0.42857142857142855,3
,-23.0,7,MIA,1,moneyline,7,4.859,7,-161.0,0,unrated,0.6795804195804196,dimers,7.1499999999999995,0,0.4869,0.8571428571428571,6
,-91.57142857142857,7,PHI,4,moneyline,7,-1.5659999999999998,7,-641.0,0,unrated,-0.2071428571428571,dimers,7.5600000000000005,0,0.1582,0.42857142857142855,3
,-158.16666666666666,6,SAS,3,moneyline,7,-1.2679999999999998,6,-949.0,0,unrated,-0.17441540577716644,dimers,7.269999999999999,1,0.2505,0.5714285714285714,4
points,21.0,7,UNDER,4,player_prop,7,-0.831,7,147.0,0,unrated,-0.12184750733137827,dimers,6.820000000000001,0,0.1582,0.42857142857142855,3
,-105.14285714285714,7,ATL,3,spread,7,0.8149999999999997,7,-736.0,0,unrated,0.11382681564245806,dimers,7.16,0,0.2505,0.5714285714285714,4
,-46.857142857142854,7,DEN,2,spread,7,2.854,7,-328.0,0,unrated,0.40028050490883593,dimers,7.13,0,0.3589,0.7142857142857143,5
