atomic_stat,avg_odds,bets_with_units,expert_name,losses,market_type,n,net_units,odds_count,odds_sum,pushes,roi,source_id,total_stake,units_missing_count,wilson_lower,win_pct,wins
,-148.0,1,Alex Selesnick,1,player_prop,1,-1.19,1,-148.0,0,-1.0,sportsline,1.19,0,0.0,0.0,0
,-112.0,1,Alex Selesnick,0,total,1,0.946,1,-112.0,0,0.8924528301886792,sportsline,1.06,0,0.2065,1.0,1
,136.0,1,Bdodson420,1,moneyline,1,-0.85,1,136.0,0,-1.0,bettingpros_experts,0.85,0,0.0,0.0,0
pts_reb,238.0,1,Bdodson420,0,player_prop,1,1.404,1,238.0,0,2.3796610169491523,bettingpros_experts,0.59,0,0.2065,1.0,1
threes,,1,Bdodson420,1,player_prop,1,-1.0,0,0.0,0,-1.0,bettingpros_experts,1.0,0,0.0,0.0,0
,222.0,1,Bdodson420,1,spread,1,-0.62,1,222.0,0,-1.0,bettingpros_experts,0.62,0,0.0,0.0,0
assists,-118.0,1,Bob Konarski,1,player_prop,1,-1.08,1,-118.0,0,-1.0,sportsline,1.08,0,0.0,0.0,0
pts_reb,-113.0,1,Bob Konarski,1,player_prop,1,-1.06,1,-113.0,0,-1.0,sportsline,1.06,0,0.0,0.0,0
pts_reb_ast,-108.0,1,Bob Konarski,0,player_prop,1,0.963,1,-108.0,0,0.9259615384615384,sportsline,1.04,0,0.2065,1.0,1
pts_reb_ast,-128.0,1,Buckets Podcast,0,player_prop,1,0.875,1,-128.0,0,0.7812499999999999,action,1.12,0,0.2065,1.0,1
reb_ast,100.0,1,Buckets Podcast,1,player_prop,1,-1.0,1,100.0,0,-1.0,action,1.0,0,0.0,0.0,0
pts_reb_ast,-110.0,1,Collin Whitchurch,0,player_prop,1,0.955,1,-110.0,0,0.9095238095238094,action,1.05,0,0.2065,1.0,1
reb_ast,-113.0,1,Eric Cohen,1,player_prop,1,-1.06,1,-113.0,0,-1.0,sportsline,1.06,0,0.0,0.0,0
rebounds,-113.0,1,Eric Cohen,1,player_prop,1,-1.06,1,-113.0,0,-1.0,sportsline,1.06,0,0.0,0.0,0
assists,,0,JayFish004,0,player_prop,1,0.0,0,0.0,0,,bettingpros_experts,0.0,1,0.2065,1.0,1
pts_reb,100.0,1,JayFish004,0,player_prop,1,1.0,1,100.0,0,1.0,bettingpros_experts,1.0,0,0.2065,1.0,1
threes,-219.0,2,JayFish004,1,player_prop,2,-1.0,1,-219.0,1,-0.42194092827004215,bettingpros_experts,2.37,0,0.0,0.0,0
points,-115.0,1,Jeff Hochman,1,player_prop,1,-1.07,1,-115.0,0,-1.0,sportsline,1.07,0,0.0,0.0,0
assists,,0,Jim Turvey,0,player_prop,1,0.0,0,0.0,0,,action,0.0,1,0.2065,1.0,1
points,-132.0,1,Jim Turvey,0,player_prop,1,0.864,1,-132.0,0,0.7578947368421053,action,1.14,0,0.2065,1.0,1
pts_reb,103.0,1,Jim Turvey,1,player_prop,1,-0.99,1,103.0,0,-1.0,action,0.99,0,0.0,0.0,0
,-110.0,1,Josh Nagel,1,moneyline,1,-1.05,1,-110.0,0,-1.0,sportsline,1.05,0,0.0,0.0,0
points,-116.0,1,Josh Nagel,1,player_prop,1,-1.07,1,-116.0,0,-1.0,sportsline,1.07,0,0.0,0.0,0
assists,-110.0,1,KNW,1,player_prop,1,-1.05,1,-110.0,0,-1.0,bettingpros_experts,1.05,0,0.0,0.0,0
rebounds,-147.0,1,KNW,1,player_prop,1,-1.19,1,-147.0,0,-1.0,bettingpros_experts,1.19,0,0.0,0.0,0
,-114.0,1,KNW,1,spread,1,-1.07,1,-114.0,0,-1.0,bettingpros_experts,1.07,0,0.0,0.0,0
pts_ast,-120.0,1,Kev,1,player_prop,1,-1.09,1,-120.0,0,-1.0,bettingpros_experts,1.09,0,0.0,0.0,0
rebounds,-115.0,1,Kev,1,player_prop,1,-1.07,1,-115.0,0,-1.0,bettingpros_experts,1.07,0,0.0,0.0,0
rebounds,-122.0,1,Kyle Murray,0,player_prop,1,0.902,1,-122.0,0,0.82,action,1.1,0,0.2065,1.0,1
points_rebounds,-125.0,1,Larry Hartstein,1,player_prop,1,-1.11,1,-125.0,0,-1.0,sportsline,1.11,0,0.0,0.0,0
assists,-130.0,1,LineStepper247,0,player_prop,1,0.869,1,-130.0,0,0.7690265486725665,bettingpros_experts,1.13,0,0.2065,1.0,1
points,-115.0,1,LineStepper247,0,player_prop,1,0.93,1,-115.0,0,0.8691588785046729,bettingpros_experts,1.07,0,0.2065,1.0,1
