atomic_stat,avg_odds,bets_with_units,expert_name,losses,market_type,n,net_units,odds_count,odds_sum,pushes,roi,source_id,total_stake,units_missing_count,wilson_lower,win_pct,wins
blocks,157.89908256880733,109,Dimers AI Model,67,player_prop,109,-1.103999999999998,109,17211.0,0,-0.012982126058325468,dimers,85.04000000000002,0,0.2993,0.3853211009174312,42
pts_reb,-112.66666666666667,62,The Degenerates,60,player_prop,106,-58.354000000000006,6,-676.0,0,-0.935760102629891,action,62.36000000000001,44,0.3436,0.4339622641509434,46
pts_reb,-113.88888888888889,57,Joe Dellera,53,player_prop,97,-49.577,9,-1025.0,0,-0.8610107676276484,action,57.580000000000005,40,0.3582,0.4536082474226804,44
assists,6.5227272727272725,77,sXeBets,57,player_prop,95,-37.728000000000016,44,287.0,0,-0.49221135029354224,juicereel_sxebets,76.65,18,0.3072,0.4,38
rebounds,114.6236559139785,94,Dimers AI Model,47,player_prop,94,8.868000000000002,93,10660.0,0,0.10425581942158478,dimers,85.06,0,0.4009,0.5,47
points,-113.4,53,Ryan Minion,48,player_prop,91,-42.60600000000001,10,-1134.0,0,-0.794591570309586,action,53.620000000000005,38,0.3732,0.4725274725274725,43
points,-103.61111111111111,56,nukethebooks,36,player_prop,90,-19.500999999999994,36,-3730.0,0,-0.3341501028101436,juicereel_nukethebooks,58.360000000000035,34,0.4967,0.6,54
assists,-60.7972972972973,80,OddsTrader AI,46,player_prop,88,-18.962,74,-4499.0,0,-0.2180542778288868,oddstrader,86.96000000000001,8,0.3761,0.4772727272727273,42
reb_ast,-125.0,37,Allan Lem,36,player_prop,86,-35.112,1,-125.0,0,-0.9461600646725951,action,37.11,49,0.4758,0.5813953488372093,50
rebounds,-22.723076923076924,73,OddsTrader AI,31,player_prop,86,9.636000000000001,65,-1477.0,0,0.1296032279757902,oddstrader,74.35000000000001,13,0.5341,0.6395348837209303,55
points,-98.92307692307692,46,Brian Condon,41,player_prop,78,-36.864999999999995,13,-1286.0,0,-0.787040990606319,action,46.84000000000001,32,0.3674,0.47435897435897434,37
rebounds,51.0625,49,sXeBets,34,player_prop,73,-22.155,16,817.0,0,-0.4596473029045643,juicereel_sxebets,48.2,24,0.421,0.5342465753424658,39
pts_reb,-110.75,37,Bryan Fonseca,34,player_prop,70,-31.200999999999997,4,-443.0,0,-0.8387365591397848,action,37.2,33,0.3995,0.5142857142857142,36
