avg_odds,bets_with_units,by_market,expert_name,losses,n,net_units,odds_count,odds_sum,pushes,roi,source_id,total_stake,units_missing_count,wilson_lower,win_pct,wins
-73.62295081967213,160,"{""player_prop"": {""losses"": 124, ""n"": 284, ""net_units"": -91.309, ""wilson_lower"": 0.5052, ""win_pct"": 0.5633802816901409, ""wins"": 160}, ""spread"": {""losses"": 1, ""n"": 2, ""net_units"": -0.095, ""wilson_lower"": 0.0945, ""win_pct"": 0.5, ""wins"": 1}}",Jim Turvey,125,286,-91.404,61,-4491.0,0,-0.5595934859801641,action,163.33999999999997,126,0.505,0.5629370629370629,161
-3.097826086956522,181,"{""player_prop"": {""losses"": 124, ""n"": 259, ""net_units"": -81.886, ""wilson_lower"": 0.4605, ""win_pct"": 0.5212355212355212, ""wins"": 135}, ""spread"": {""losses"": 3, ""n"": 8, ""net_units"": 0.72, ""wilson_lower"": 0.3057, ""win_pct"": 0.625, ""wins"": 5}, ""total"": {""losses"": 5, ""n"": 10, ""net_units"": -3.095, ""wilson_lower"": 0.2366, ""win_pct"": 0.5, ""wins"": 5}}",Top Shelf Action 🥃,132,277,-84.26099999999998,92,-285.0,0,-0.46221064179923205,action,182.29999999999995,96,0.4647,0.5234657039711191,145
-98.13793103448276,130,"{""player_prop"": {""losses"": 113, ""n"": 251, ""net_units"": -97.515, ""wilson_lower"": 0.488, ""win_pct"": 0.549800796812749, ""wins"": 138}, ""spread"": {""losses"": 1, ""n"": 1, ""net_units"": -1.07, ""wilson_lower"": 0.0, ""win_pct"": 0.0, ""wins"": 0}}",Cam Is Money,114,252,-98.58500000000002,29,-2846.0,0,-0.7492400060799517,action,131.57999999999998,122,0.4859,0.5476190476190477,138
-102.23636363636363,127,"{""player_prop"": {""losses"": 99, ""n"": 217, ""net_units"": -76.486, ""wilson_lower"": 0.4773, ""win_pct"": 0.543778801843318, ""wins"": 118}, ""spread"": {""losses"": 1, ""n"": 2, ""net_units"": -0.095, ""wilson_lower"": 0.0945, ""win_pct"": 0.5, ""wins"": 1}, ""total"": {""losses"": 0, ""n"": 1, ""net_units"": 0.0, ""wilson_lower"": 0.2065, ""win_pct"": 1.0, ""wins"": 1}}",Sandy Plashkes,100,220,-76.58100000000002,55,-5623.0,0,-0.5908571869454521,action,129.60999999999996,93,0.4794,0.5454545454545454,120
-74.9367088607595,110,"{""player_prop"": {""losses"": 73, ""n"": 160, ""net_units"": -43.874, ""wilson_lower"": 0.4664, ""win_pct"": 0.54375, ""wins"": 87}}",nukethebooks,73,160,-43.87400000000007,79,-5920.0,0,-0.38604487461504705,juicereel_nukethebooks,113.64999999999993,50,0.4664,0.54375,87
22.333333333333332,69,"{""player_prop"": {""losses"": 62, ""n"": 126, ""net_units"": -55.682, ""wilson_lower"": 0.4217, ""win_pct"": 0.5079365079365079, ""wins"": 64}, ""spread"": {""losses"": 2, ""n"": 3, ""net_units"": -2.07, ""wilson_lower"": 0.0615, ""win_pct"": 0.3333333333333333, ""wins"": 1}}",Boomer Betz,64,129,-57.751999999999995,15,335.0,0,-0.8411302068161958,action,68.66,60,0.4187,0.5038759689922481,65
-18.36842105263158,69,"{""player_prop"": {""losses"": 60, ""n"": 128, ""net_units"": -50.808, ""wilson_lower"": 0.4452, ""win_pct"": 0.53125, ""wins"": 68}}",Matt DiLeo,60,128,-50.808,19,-349.0,0,-0.7381664971669328,action,68.83000000000001,59,0.4452,0.53125,68
-90.68571428571428,76,"{""player_prop"": {""losses"": 42, ""n"": 69, ""net_units"": -40.314, ""wilson_lower"": 0.2848, ""win_pct"": 0.391304347826087, ""wins"": 27}, ""spread"": {""losses"": 11, ""n"": 24, ""net_units"": -3.664, ""wilson_lower"": 0.3507, ""win_pct"": 0.5416666666666666, ""wins"": 13}, ""total"": {""losses"": 11, ""n"": 18, ""net_units"": -9.324, ""wilson_lower"": 0.1731, ""win_pct"": 0.35294117647058826, ""wins"": 6}}",Matt Moore,64,111,-53.302000000000014,35,-3174.0,1,-0.6895472186287195,action,77.3,35,0.3303,0.41818181818181815,46
-51.72727272727273,60,"{""player_prop"": {""losses"": 54, ""n"": 104, ""net_units"": -48.314, ""wilson_lower"": 0.3872, ""win_pct"": 0.4807692307692308, ""wins"": 50}}",RocketPlays,54,104,-48.314,11,-569.0,0,-0.8009615384615384,action,60.32000000000001,44,0.3872,0.4807692307692308,50
-64.36363636363636,64,"{""player_prop"": {""losses"": 50, ""n"": 87, ""net_units"": -42.564, ""wilson_lower"": 0.32, ""win_pct"": 0.4186046511627907, ""wins"": 36}, ""spread"": {""losses"": 1, ""n"": 4, ""net_units"": 1.733, ""wilson_lower"": 0.3006, ""win_pct"": 0.75, ""wins"": 3}, ""total"": {""losses"": 1, ""n"": 2, ""net_units"": -1.05, ""wilson_lower"": 0.0945, ""win_pct"": 0.5, ""wins"": 1}}",Alex Hinton,52,93,-41.881000000000014,22,-1416.0,1,-0.6444222188028929,action,64.99000000000001,29,0.3381,0.43478260869565216,40
-10.25,55,"{""player_prop"": {""losses"": 30, ""n"": 65, ""net_units"": -20.787, ""wilson_lower"": 0.4185, ""win_pct"": 0.5384615384615384, ""wins"": 35}, ""spread"": {""losses"": 11, ""n"": 19, ""net_units"": -7.357, ""wilson_lower"": 0.2314, ""win_pct"": 0.42105263157894735, ""wins"": 8}, ""total"": {""losses"": 1, ""n"": 3, ""net_units"": 0.989, ""wilson_lower"": 0.2077, ""win_pct"": 0.6666666666666666, ""wins"": 2}}",Brandon Kravitz,42,87,-27.15500000000001,32,-328.0,0,-0.5012922281705743,action,54.169999999999995,32,0.4137,0.5172413793103449,45
,45,"{""player_prop"": {""losses"": 45, ""n"": 80, ""net_units"": -45.0, ""wilson_lower"": 0.3341, ""win_pct"": 0.4375, ""wins"": 35}}",Player Prop Savant,45,80,-45.0,0,0.0,0,-1.0,action,45.0,35,0.3341,0.4375,35
-98.92307692307692,46,"{""player_prop"": {""losses"": 41, ""n"": 78, ""net_units"": -36.865, ""wilson_lower"": 0.3674, ""win_pct"": 0.47435897435897434, ""wins"": 37}}",Brian Condon,41,78,-36.864999999999995,13,-1286.0,0,-0.787040990606319,action,46.84000000000001,32,0.3674,0.47435897435897434,37
-118.0,36,"{""player_prop"": {""losses"": 34, ""n"": 74, ""net_units"": -33.078, ""wilson_lower"": 0.4278, ""win_pct"": 0.5405405405405406, ""wins"": 40}}",Doug Ziefel,34,74,-33.078,2,-236.0,0,-0.9147676991150444,action,36.16,38,0.4278,0.5405405405405406,40
-82.0,43,"{""player_prop"": {""losses"": 40, ""n"": 69, ""net_units"": -39.32, ""wilson_lower"": 0.3026, ""win_pct"": 0.4117647058823529, ""wins"": 28}}",Royals Props,40,69,-39.32,7,-574.0,1,-0.907035755478662,action,43.35,26,0.3026,0.4117647058823529,28
-99.61111111111111,58,"{""player_prop"": {""losses"": 38, ""n"": 47, ""net_units"": -36.035, ""wilson_lower"": 0.1042, ""win_pct"": 0.19148936170212766, ""wins"": 9}, ""spread"": {""losses"": 9, ""n"": 13, ""net_units"": -6.674, ""wilson_lower"": 0.1268, ""win_pct"": 0.3076923076923077, ""wins"": 4}, ""total"": {""losses"": 4, ""n"": 7, ""net_units"": -2.18, ""wilson_lower"": 0.1582, ""win_pct"": 0.42857142857142855, ""wins"": 3}}",Wags Wins,51,67,-44.88900000000001,18,-1793.0,0,-0.7618635437881874,action,58.92000000000001,9,0.1527,0.23880597014925373,16
-82.14285714285714,37,"{""player_prop"": {""losses"": 34, ""n"": 58, ""net_units"": -29.351, ""wilson_lower"": 0.2963, ""win_pct"": 0.41379310344827586, ""wins"": 24}}",Prop Bomb 🏝,34,58,-29.351000000000003,7,-575.0,0,-0.7858366800535475,action,37.35000000000001,21,0.2963,0.41379310344827586,24
