atomic_stat,avg_odds,bets_with_units,losses,market_type,n,net_units,odds_count,odds_sum,pushes,rating_bucket,roi,source_id,total_stake,units_missing_count,wilson_lower,win_pct,wins
rebounds,40.5625,54,43,player_prop,81,-32.752,16,649.0,0,5_star,-0.6093395348837211,betql,53.74999999999999,27,0.3643,0.4691358024691358,38
assists,13.985294117647058,71,36,player_prop,75,-0.26599999999999957,68,951.0,0,unrated,-0.003738580463808848,covers,71.15,4,0.4087,0.52,39
rebounds,51.0625,49,34,player_prop,73,-22.155,16,817.0,0,unrated,-0.4596473029045643,juicereel_sxebets,48.2,24,0.421,0.5342465753424658,39
rebounds,23.2,68,45,player_prop,72,-19.387,55,1276.0,0,unrated,-0.288196818789951,covers,67.26999999999998,4,0.2722,0.375,27
rebounds,3.421875,65,29,player_prop,69,6.323,64,219.0,0,4_star,0.09635781773849438,covers,65.61999999999999,4,0.4621,0.5797101449275363,40
points,-98.1,65,31,player_prop,68,-5.044000000000002,60,-5886.0,0,unrated,-0.07308026658939441,sportsline,69.02,3,0.4266,0.5441176470588235,37
assists,14.0,51,41,player_prop,67,-31.113000000000003,33,462.0,0,3_star,-0.6087458423009198,betql,51.10999999999999,16,0.2805,0.3880597014925373,26
assists,39.63636363636363,47,38,player_prop,66,-26.739,22,872.0,0,4_star,-0.5731832797427652,betql,46.650000000000006,19,0.3124,0.42424242424242425,28
assists,17.051724137931036,59,27,player_prop,63,4.419999999999997,58,989.0,0,4_star,0.07423580786026199,covers,59.53999999999998,4,0.4486,0.5714285714285714,36
points,-89.20370370370371,58,26,player_prop,63,2.4229999999999996,54,-4817.0,0,5_star,0.039347190646313736,covers,61.58,5,0.4642,0.5873015873015873,37
,-108.1,61,26,spread,64,7.722999999999996,60,-6486.0,1,unrated,0.12192927060309433,oddstrader,63.34000000000001,3,0.4642,0.5873015873015873,37
,,27,27,total,61,-27.0,0,0.0,0,3_star,-1.0,betql,27.0,34,0.433,0.5573770491803278,34
,,26,25,spread,53,-25.0,0,0.0,1,5_star,-0.9615384615384616,betql,26.0,27,0.3869,0.5192307692307693,27
threes,-53.9375,48,20,player_prop,48,2.641999999999999,48,-2589.0,0,unrated,0.04955918214218719,oddstrader,53.309999999999995,0,0.4428,0.5833333333333334,28
threes,30.103448275862068,39,26,player_prop,47,-11.732,29,873.0,0,unrated,-0.31086380498145205,action,37.739999999999995,8,0.3141,0.44680851063829785,21
steals,20.0,29,26,player_prop,45,-23.884,6,120.0,1,unrated,-0.8241545893719808,action,28.979999999999997,16,0.2769,0.4090909090909091,18
,,26,26,spread,41,-26.0,0,0.0,0,3_star,-1.0,betql,26.0,15,0.2359,0.36585365853658536,15
,,19,18,spread,38,-18.0,0,0.0,1,4_star,-0.9473684210526315,betql,19.0,19,0.3589,0.5135135135135135,19
,,16,14,total,39,-14.0,0,0.0,2,4_star,-0.875,betql,16.0,23,0.461,0.6216216216216216,23
,-108.85185185185185,27,19,total,31,-10.139,27,-2939.0,0,unrated,-0.35992190273340424,oddstrader,28.170000000000005,4,0.2373,0.3870967741935484,12
assists,48.81818181818182,21,13,player_prop,29,-6.835000000000001,11,537.0,0,5_star,-0.3282901056676274,betql,20.819999999999997,8,0.3755,0.5517241379310345,16
pts_reb_ast,-115.77777777777777,19,13,player_prop,28,-7.648,9,-1042.0,0,unrated,-0.38881545500762577,juicereel_sxebets,19.67,9,0.3581,0.5357142857142857,15
,,13,13,total,27,-13.0,0,0.0,0,5_star,-1.0,betql,13.0,14,0.3399,0.5185185185185185,14
rebounds,-40.22222222222222,16,12,player_prop,25,-10.253999999999998,9,-362.0,0,unrated,-0.6310153846153845,juicereel_nukethebooks,16.25,9,0.335,0.52,13
pts_reb_ast,,15,12,player_prop,23,-14.0,0,0.0,0,4_star,-0.9333333333333333,betql,15.0,8,0.2924,0.4782608695652174,11
blocks,,9,9,player_prop,22,-9.0,0,0.0,0,unrated,-1.0,action,9.0,13,0.3873,0.5909090909090909,13
points,-22.80952380952381,21,9,player_prop,21,3.0340000000000007,21,-479.0,0,unrated,0.14489016236867241,dimers,20.94,0,0.3655,0.5714285714285714,12
assists,56.0,13,8,player_prop,20,-3.5499999999999994,11,616.0,0,unrated,-0.2844551282051282,juicereel_nukethebooks,12.479999999999999,7,0.3866,0.6,12
rebounds,-87.72222222222223,18,9,player_prop,20,-1.5960000000000005,18,-1579.0,0,unrated,-0.08142857142857146,sportsline,19.599999999999998,2,0.3421,0.55,11
points,-3.9444444444444446,19,11,player_prop,19,-1.8900000000000003,18,-71.0,0,unrated,-0.10570469798657721,vegasinsider,17.88,0,0.2314,0.42105263157894735,8
assists,57.333333333333336,14,6,player_prop,18,2.501,12,688.0,0,5_star,0.18512213175425607,covers,13.510000000000002,4,0.4375,0.6666666666666666,12
