atomic_stat,avg_odds,bets_with_units,direction,expert_name,losses,market_type,n,net_units,odds_count,odds_sum,pushes,roi,source_id,total_stake,units_missing_count,wilson_lower,win_pct,wins
rebounds,-59.26086956521739,23,UNDER,severianosmith,8,player_prop,24,5.109999999999999,23,-1363.0,1,0.21327212020033387,bettingpros_experts,23.96,1,0.4489,0.6521739130434783,15
,,9,GSW,BetQL Model,9,spread,22,-9.0,0,0.0,0,-1.0,betql,9.0,13,0.3873,0.5909090909090909,13
points,-120.0,14,PLAYER_OVER,Cam Is Money,13,player_prop,22,-12.092,1,-120.0,0,-0.8581973030518099,action,14.09,8,0.2326,0.4090909090909091,9
points,-476395.2380952381,21,UNDER,KD850,8,player_prop,22,-0.806,21,-10004300.0,0,-0.030052199850857577,bettingpros_experts,26.819999999999993,1,0.4295,0.6363636363636364,14
threes,76.21052631578948,20,OVER,KD850,8,player_prop,22,6.173,19,1448.0,0,0.31129601613716595,bettingpros_experts,19.83,2,0.4295,0.6363636363636364,14
pts_ast,,6,PLAYER_UNDER,Kyle Murray,6,player_prop,22,-6.0,0,0.0,0,-1.0,action,6.0,16,0.5185,0.7272727272727273,16
pts_ast,-117.5,9,OVER,Markus Markets,8,player_prop,22,-7.16,2,-235.0,0,-0.7816593886462883,action,9.16,13,0.4295,0.6363636363636364,14
pts_reb,,17,OVER,Player Prop Savant,17,player_prop,22,-17.0,0,0.0,0,-1.0,action,17.0,5,0.1012,0.22727272727272727,5
assists,-5.0,11,OVER,The Propfessor,10,player_prop,22,-8.371,2,-10.0,0,-0.8064547206165704,action,10.379999999999999,11,0.3466,0.5454545454545454,12
points,-137.0,22,OVER,mullinsjeff76,5,player_prop,22,8.598999999999998,22,-3014.0,0,0.33695141065830714,bettingpros_experts,25.52,0,0.5656,0.7727272727272727,17
threes,257.26666666666665,18,OVER,nomadicmitch,6,player_prop,22,11.201999999999998,15,3859.0,0,0.8248895434462443,bettingpros_experts,13.58,4,0.5185,0.7272727272727273,16
pts_reb_ast,-462.1875,19,OVER,1979jbusy,5,player_prop,22,0.5830000000000001,16,-7395.0,1,0.02148120854826824,bettingpros_experts,27.14,3,0.5491,0.7619047619047619,16
,,9,HOU,BetQL Model,9,spread,21,-9.0,0,0.0,0,-1.0,betql,9.0,12,0.3655,0.5714285714285714,12
,-111.14285714285714,21,AWAY,Bruce Marshall,6,spread,21,7.93,21,-2334.0,0,0.358499095840868,sportsline,22.12,0,0.5004,0.7142857142857143,15
,-97.0,22,NOP,Dimers AI Model,10,spread,22,0.35399999999999987,21,-2037.0,1,0.015636042402826848,dimers,22.64,0,0.3237,0.5238095238095238,11
assists,-18.0,14,OVER,Joe Dellera,10,player_prop,21,-6.095,7,-126.0,0,-0.4322695035460993,action,14.1,7,0.3237,0.5238095238095238,11
points,-45.666666666666664,12,PLAYER_UNDER,Kyle Murray,10,player_prop,21,-8.169,3,-137.0,0,-0.6712407559572721,action,12.17,9,0.3237,0.5238095238095238,11
pts_reb,-108.0,15,OVER,Markus Markets,14,player_prop,21,-13.037,1,-108.0,0,-0.8668218085106384,action,15.04,6,0.1719,0.3333333333333333,7
points,-39.666666666666664,12,OVER,Matt DiLeo,10,player_prop,21,-8.087,3,-119.0,0,-0.668899917287014,action,12.09,9,0.3237,0.5238095238095238,11
points,,13,OVER,johnmorrow,13,player_prop,21,-13.0,0,0.0,0,-1.0,bettingpros_experts,13.0,8,0.2075,0.38095238095238093,8
,-69.15,21,UNDER,severianosmith,12,total,21,-4.644,20,-1383.0,0,-0.20494263018534864,bettingpros_experts,22.66,0,0.2447,0.42857142857142855,9
,,10,MEM,BetQL Model,10,spread,20,-10.0,0,0.0,0,-1.0,betql,10.0,10,0.2993,0.5,10
,,10,ORL,BetQL Model,8,spread,21,-9.0,0,0.0,1,-0.9,betql,10.0,11,0.3866,0.6,12
