atomic_stat,avg_odds,bets_with_units,direction,expert_name,losses,market_type,n,net_units,odds_count,odds_sum,pushes,roi,source_id,total_stake,units_missing_count,wilson_lower,win_pct,wins
pts_reb_ast,,1,PLAYER_UNDER,Cam Is Money,1,player_prop,6,-1.0,0,0.0,0,-1.0,action,1.0,5,0.4365,0.8333333333333334,5
rebounds,,0,PLAYER_UNDER,Doug Ziefel,0,player_prop,6,0.0,0,0.0,0,,action,0.0,6,0.6097,1.0,6
rebounds,-116.0,3,UNDER,Doug Ziefel,2,player_prop,6,-1.0779999999999998,1,-116.0,0,-0.35114006514657975,action,3.0700000000000003,3,0.3,0.6666666666666666,4
pts_reb_ast,,5,PLAYER_OVER,Grant Neiffer,5,player_prop,6,-5.0,0,0.0,0,-1.0,action,5.0,1,0.0301,0.16666666666666666,1
assists,-40.166666666666664,6,OVER,Jason Logan Senior,3,player_prop,6,-0.19000000000000006,6,-241.0,0,-0.030744336569579294,covers,6.180000000000001,0,0.1876,0.5,3
threes,42.5,6,OVER,Jason Logan Senior,4,player_prop,6,-1.7950000000000002,6,255.0,0,-0.31001727115716754,covers,5.79,0,0.0968,0.3333333333333333,2
rebounds,-8.5,5,OVER,Jim Turvey,4,player_prop,6,-3.062,2,-17.0,0,-0.6051383399209487,action,5.06,1,0.0968,0.3333333333333333,2
rebounds,-103.0,4,UNDER,Jim Turvey,4,player_prop,6,-3.0,1,-103.0,0,-0.7481296758104738,action,4.01,2,0.0968,0.3333333333333333,2
points,,2,UNDER,Joe Dellera,2,player_prop,6,-2.0,0,0.0,0,-1.0,action,2.0,4,0.3,0.6666666666666666,4
pts_reb_ast,-110.0,2,PLAYER_UNDER,Joe Dellera,2,player_prop,6,-2.05,1,-110.0,0,-1.0,action,2.05,4,0.3,0.6666666666666666,4
pts_reb,-115.0,3,UNDER,Markus Markets,2,player_prop,6,-1.0699999999999998,1,-115.0,0,-0.3485342019543973,action,3.0700000000000003,3,0.3,0.6666666666666666,4
reb_ast,-122.5,4,PLAYER_OVER,Matt DiLeo,4,player_prop,6,-4.2,2,-245.0,0,-1.0,action,4.2,2,0.0968,0.3333333333333333,2
points,-122.5,5,PLAYER_OVER,Matt Moore,4,player_prop,6,-3.202,2,-245.0,0,-0.6157692307692307,action,5.2,1,0.0968,0.3333333333333333,2
pts_ast,,4,OVER,Matt Moore,4,player_prop,6,-4.0,0,0.0,0,-1.0,action,4.0,2,0.0968,0.3333333333333333,2
rebounds,-123.83333333333333,6,OVER,Mike Barner,3,player_prop,6,-0.633,6,-743.0,0,-0.09547511312217195,sportsline,6.63,0,0.1876,0.5,3
blocks,-105.0,6,UNDER,OddsTrader AI,1,player_prop,6,3.1460000000000004,6,-630.0,0,0.45793304221251824,oddstrader,6.87,0,0.4365,0.8333333333333334,5
,-108.0,5,LAL,OddsTrader AI,1,spread,6,2.8019999999999996,5,-540.0,0,0.5398843930635837,oddstrader,5.19,1,0.4365,0.8333333333333334,5
,-106.0,6,MEM,OddsTrader AI,4,spread,6,-2.174,6,-636.0,0,-0.3517799352750809,oddstrader,6.18,0,0.0968,0.3333333333333333,2
,-111.66666666666667,3,UNDER,RankScore by Bet Labs,1,total,6,0.835,3,-335.0,0,0.26340694006309145,action,3.17,3,0.4365,0.8333333333333334,5
assists,,5,PLAYER_OVER,RocketPlays,5,player_prop,6,-5.0,0,0.0,0,-1.0,action,5.0,1,0.0301,0.16666666666666666,1
reb_ast,,3,OVER,RocketPlays,3,player_prop,6,-3.0,0,0.0,0,-1.0,action,3.0,3,0.1876,0.5,3
pts_reb,-119.0,2,UNDER,Top Shelf Action 🥃,1,player_prop,6,-0.17200000000000015,2,-238.0,0,-0.07926267281105998,action,2.17,4,0.4365,0.8333333333333334,5
reb_ast,-6.75,4,OVER,sXeBets,1,player_prop,6,1.894,4,-27.0,0,0.46195121951219503,juicereel_sxebets,4.1000000000000005,2,0.4365,0.8333333333333334,5
pts_reb,,4,OVER,Allan Lem,4,player_prop,5,-4.0,0,0.0,0,-1.0,action,4.0,1,0.0362,0.2,1
pts_reb_ast,,3,PLAYER_OVER,Allan Lem,3,player_prop,5,-3.0,0,0.0,0,-1.0,action,3.0,2,0.1176,0.4,2
rebounds,,2,OVER,Babs .,2,player_prop,5,-2.0,0,0.0,0,-1.0,action,2.0,3,0.2307,0.6,3
assists,,2,OVER,Boomer Betz,2,player_prop,5,-2.0,0,0.0,0,-1.0,action,2.0,3,0.2307,0.6,3
assists,-15.0,2,UNDER,Boomer Betz,1,player_prop,5,-0.11599999999999999,2,-30.0,0,-0.054976303317535544,action,2.11,3,0.3755,0.8,4
reb_ast,,3,UNDER,Boomer Betz,3,player_prop,5,-3.0,0,0.0,0,-1.0,action,3.0,2,0.1176,0.4,2
pts_ast,-105.0,4,OVER,Brandon Kravitz,4,player_prop,5,-3.02,1,-105.0,0,-0.7512437810945275,action,4.02,1,0.0362,0.2,1
pts_reb,,3,OVER,Brandon Kravitz,3,player_prop,5,-3.0,0,0.0,0,-1.0,action,3.0,2,0.1176,0.4,2
points,-128.0,3,UNDER,Bryan Fonseca,3,player_prop,5,-3.12,1,-128.0,0,-1.0,action,3.12,2,0.1176,0.4,2
pts_reb,,0,UNDER,Bryan Fonseca,0,player_prop,5,0.0,0,0.0,0,,action,0.0,5,0.5655,1.0,5
reb_ast,,4,PLAYER_OVER,Bryan Fonseca,4,player_prop,5,-4.0,0,0.0,0,-1.0,action,4.0,1,0.0362,0.2,1
steals,263.0,3,OVER,Bryan Fonseca,3,player_prop,5,-2.28,2,526.0,0,-1.0,action,2.28,2,0.1176,0.4,2
threes,105.0,2,OVER,Bryan Fonseca,1,player_prop,5,0.028999999999999915,1,105.0,0,0.014646464646464604,action,1.98,3,0.3755,0.8,4
points,-10.0,4,UNDER,Buckets Podcast,2,player_prop,5,-0.09200000000000008,2,-20.0,0,-0.02249388753056237,action,4.09,1,0.2307,0.6,3
threes,-118.0,1,OVER,Buckets Podcast,1,player_prop,5,-1.08,1,-118.0,0,-1.0,action,1.08,4,0.3755,0.8,4
,-110.0,5,TEAM,Buckets Podcast,1,spread,5,2.761,5,-550.0,0,0.526908396946565,action,5.239999999999999,0,0.3755,0.8,4
points,-72.4,5,OVER,Chris Faria,3,player_prop,5,-1.2850000000000001,5,-362.0,0,-0.24291115311909262,covers,5.290000000000001,0,0.1176,0.4,2
,-61.8,5,TEAM,Dimers AI Model,5,spread,5,-5.05,5,-309.0,0,-1.0,dimers,5.05,0,-0.0,0.0,0
points,,2,PLAYER_OVER,Doug Ziefel,2,player_prop,5,-2.0,0,0.0,0,-1.0,action,2.0,3,0.2307,0.6,3
pts_reb,,4,OVER,Grant Neiffer,4,player_prop,5,-4.0,0,0.0,0,-1.0,action,4.0,1,0.0362,0.2,1
pts_reb,,3,PLAYER_OVER,Jim Turvey,3,player_prop,5,-3.0,0,0.0,0,-1.0,action,3.0,2,0.1176,0.4,2
points,-114.0,2,PLAYER_UNDER,Joe Dellera,1,player_prop,5,-0.135,2,-228.0,0,-0.06338028169014086,action,2.13,3,0.3755,0.8,4
assists,,1,UNDER,Kyle Murray,1,player_prop,5,-1.0,0,0.0,0,-1.0,action,1.0,4,0.3755,0.8,4
points,,3,OVER,Lines at Lunch,3,player_prop,5,-3.0,0,0.0,0,-1.0,action,3.0,2,0.1176,0.4,2
pts_reb,,1,UNDER,Lines at Lunch,1,player_prop,5,-1.0,0,0.0,0,-1.0,action,1.0,4,0.3755,0.8,4
pts_reb_ast,-116.4,5,UNDER,Markus Markets,1,player_prop,5,2.63,5,-582.0,0,0.4897579143389199,action,5.37,0,0.3755,0.8,4
reb_ast,-115.0,3,PLAYER_OVER,Markus Markets,3,player_prop,5,-3.0700000000000003,1,-115.0,0,-1.0,action,3.0700000000000003,2,0.1176,0.4,2
reb_ast,-121.0,4,UNDER,Markus Markets,3,player_prop,5,-2.282,3,-363.0,0,-0.533177570093458,action,4.279999999999999,1,0.1176,0.4,2
points,100.0,2,UNDER,Matt DiLeo,1,player_prop,5,0.0,1,100.0,0,0.0,action,2.0,3,0.3755,0.8,4
