atomic_stat,avg_odds,bets_with_units,losses,market_type,n,net_units,odds_count,odds_sum,pushes,rating_bucket,roi,source_id,total_stake,units_missing_count,wilson_lower,win_pct,wins
blocks,123.0,4,2,player_prop,4,0.41000000000000036,4,492.0,0,unrated,0.11420612813370484,sportsline,3.59,0,0.15,0.5,2
assists,-131.0,2,1,player_prop,3,0.41000000000000003,2,-262.0,0,unrated,0.25786163522012584,action,1.5899999999999999,1,0.2077,0.6666666666666666,2
pts_reb,-44.0,3,2,player_prop,3,-1.15,3,-132.0,0,unrated,-0.365079365079365,action,3.1500000000000004,0,0.0615,0.3333333333333333,1
threes,56.666666666666664,3,2,player_prop,3,-1.0,3,170.0,0,unrated,-0.45454545454545453,juicereel_nukethebooks,2.2,0,0.0615,0.3333333333333333,1
pts_reb,-32.0,3,1,player_prop,3,5.154,3,-96.0,0,unrated,0.6232164449818621,juicereel_sxebets,8.27,0,0.2077,0.6666666666666666,2
reb_ast,-41.333333333333336,3,3,player_prop,3,-3.55,3,-124.0,0,unrated,-1.0,juicereel_sxebets,3.55,0,0.0,0.0,0
triple_doubles,2653.25,4,2,player_prop,4,0.52,4,10613.0,1,unrated,0.4727272727272727,juicereel_sxebets,1.1,0,0.0615,0.3333333333333333,1
rebounds,-144.0,2,0,player_prop,2,1.655,2,-288.0,0,unrated,0.7042553191489361,action,2.35,0,0.3424,1.0,2
pts_ast,-117.5,2,0,player_prop,2,1.192,2,-235.0,0,unrated,0.8514285714285714,juicereel_nukethebooks,1.4,0,0.3424,1.0,2
pts_ast,-112.5,2,1,player_prop,2,2.9719999999999995,2,-225.0,0,unrated,0.49533333333333324,juicereel_sxebets,6.0,0,0.0945,0.5,1
threes,137.0,2,2,player_prop,2,-4.29,2,274.0,0,unrated,-1.0,juicereel_sxebets,4.29,0,0.0,0.0,0
steals,124.5,2,2,player_prop,2,-1.78,2,249.0,0,unrated,-1.0,sportsline,1.78,0,0.0,0.0,0
pts_ast,-135.0,1,1,player_prop,1,-1.15,1,-135.0,0,unrated,-1.0,action,1.15,0,0.0,0.0,0
reb_ast,100.0,1,1,player_prop,1,-1.0,1,100.0,0,unrated,-1.0,action,1.0,0,0.0,0.0,0
,-105.0,1,1,total,1,-0.9,1,-105.0,0,unrated,-1.0,bettingpros,0.9,0,0.0,0.0,0
,145.0,1,0,moneyline,1,1.45,1,145.0,0,unrated,1.45,juicereel_nukethebooks,1.0,0,0.2065,1.0,1
reb_ast,-140.0,1,0,player_prop,1,0.5,1,-140.0,0,unrated,0.7142857142857143,juicereel_nukethebooks,0.7,0,0.2065,1.0,1
,-108.0,1,1,1st_half_spread,1,-1.04,1,-108.0,0,unrated,-1.0,sportsline,1.04,0,0.0,0.0,0
