avg_odds,bets_with_units,losses,n,net_units,odds_count,odds_sum,pushes,rating_bucket,roi,source_id,total_stake,units_missing_count,wilson_lower,win_pct,wins
-51.77018751183787,16232,8363,16577,-1116.0240000000065,15839,-819988.0,8,unrated,-0.06629350640556039,betql,16834.590000000357,345,0.4877,0.4952622367071036,8206
-67.070281124498,3619,3097,6323,-2616.1170000000025,996,-66802.0,5,unrated,-0.7156483631917121,action,3655.5900000000165,2704,0.4975,0.5098132320354543,3221
-107.09436758893281,2084,1045,2156,-164.86800000000008,2024,-216759.0,1,unrated,-0.07344473202393163,oddstrader,2244.789999999981,72,0.494,0.5150812064965197,1110
-51.030188679245285,432,288,572,-157.2700000000002,265,-13523.0,0,3_star,-0.3580095153543223,betql,439.2899999999999,140,0.4557,0.4965034965034965,284
130.68067226890756,480,297,482,-37.76799999999999,476,62204.0,0,unrated,-0.09357548128143492,dimers,403.6100000000004,2,0.3415,0.38381742738589214,185
-47.17910447761194,315,234,469,-160.59599999999998,134,-6322.0,3,4_star,-0.5057982425750368,betql,317.51000000000005,154,0.4527,0.4978540772532189,232
-38.25,376,207,406,-38.93799999999999,332,-12699.0,0,unrated,-0.10207355755367387,covers,381.4700000000002,30,0.4418,0.49014778325123154,199
16.270833333333332,278,199,378,-119.68800000000003,144,2343.0,0,unrated,-0.4343918992487205,juicereel_sxebets,275.53000000000014,100,0.4237,0.47354497354497355,179
-47.91954022988506,242,194,374,-147.23500000000007,87,-4169.0,1,5_star,-0.6029773118191502,betql,244.17999999999998,132,0.4297,0.47989276139410186,179
-45.72360248447205,335,171,352,-20.676000000000002,322,-14723.0,0,4_star,-0.059308129195112115,covers,348.6200000000003,17,0.4621,0.5142045454545454,181
-74.9367088607595,110,73,160,-43.87400000000007,79,-5920.0,0,unrated,-0.38604487461504705,juicereel_nukethebooks,113.64999999999993,50,0.4664,0.54375,87
-89.5327868852459,133,73,149,-25.559999999999995,122,-10923.0,0,unrated,-0.1805977531265456,sportsline,141.52999999999997,16,0.4306,0.5100671140939598,76
-49.79746835443038,85,40,94,2.2270000000000003,79,-3934.0,0,5_star,0.02537313432835821,covers,87.77000000000001,9,0.4735,0.574468085106383,54
-56.791666666666664,48,36,67,-26.829,24,-1363.0,1,unrated,-0.5501127742464631,bettingpros_experts,48.769999999999996,19,0.3402,0.45454545454545453,30
-55.38235294117647,36,17,36,1.151,34,-1883.0,0,unrated,0.03208809590186785,vegasinsider,35.87000000000001,0,0.3701,0.5277777777777778,19
-112.33333333333333,3,1,3,0.826,3,-337.0,0,unrated,0.2597484276729559,sportscapping,3.1800000000000006,0,0.2077,0.6666666666666666,2
-17.5,2,1,2,-0.10299999999999998,2,-35.0,0,3_star,-0.04881516587677724,covers,2.11,0,0.0945,0.5,1
-105.0,1,1,1,-1.02,1,-105.0,0,1_star,-1.0,covers,1.02,0,0.0,0.0,0
