atomic_stat,avg_odds,bets_with_units,direction,losses,market_type,n,net_units,odds_count,odds_sum,pushes,rating_bucket,roi,source_id,total_stake,units_missing_count,wilson_lower,win_pct,wins
pts_ast,-118.46875,32,UNDER,15,player_prop,32,-0.7140000000000005,32,-3791.0,0,unrated,-0.020570440795159906,sportsline,34.71000000000001,0,0.3645,0.53125,17
,-527.9666666666667,31,OKC,5,moneyline,31,4.3,30,-15839.0,0,unrated,0.0901089689857502,bettingpros_experts,47.720000000000006,0,0.6737,0.8387096774193549,26
,-132.41935483870967,31,DEN,12,spread,31,3.6979999999999995,31,-4105.0,0,unrated,0.1077191960384503,bettingpros_experts,34.330000000000005,0,0.4382,0.6129032258064516,19
,-98.85714285714286,30,WAS,18,spread,31,-6.7989999999999995,28,-2768.0,0,unrated,-0.22103381014304294,dimers,30.759999999999994,1,0.2642,0.41935483870967744,13
,-93.1,30,PHI,12,moneyline,31,0.4620000000000002,30,-2793.0,1,unrated,0.013291139240506337,bettingpros_experts,34.75999999999999,1,0.4232,0.6,18
,-95.35714285714286,28,PHI,9,spread,29,8.122999999999998,28,-2670.0,0,unrated,0.27139993317741384,bettingpros_experts,29.930000000000007,1,0.5077,0.6896551724137931,20
,-110.96551724137932,29,AWAY,8,spread,29,11.531999999999998,29,-3218.0,0,unrated,0.3777268260727153,sportsline,30.53,0,0.5428,0.7241379310344828,21
,-74.1923076923077,27,DET,15,spread,27,-4.0760000000000005,26,-1929.0,0,unrated,-0.14510501957992167,bettingpros_experts,28.090000000000003,0,0.2759,0.4444444444444444,12
,-111.22222222222223,27,HOME,19,spread,27,-12.461000000000004,27,-3003.0,0,unrated,-0.4375351123595506,sportsline,28.480000000000004,0,0.1585,0.2962962962962963,8
,-6.583333333333333,24,HOU,8,moneyline,26,3.5029999999999992,24,-158.0,0,unrated,0.123085031623331,bettingpros_experts,28.459999999999994,2,0.5001,0.6923076923076923,18
,-25.23076923076923,26,BOS,10,spread,26,5.983,26,-656.0,0,unrated,0.22976190476190472,bettingpros_experts,26.040000000000003,0,0.4253,0.6153846153846154,16
,-71.28,26,DAL,14,spread,26,-2.796000000000001,25,-1782.0,0,unrated,-0.1044062733383122,bettingpros_experts,26.78,0,0.2876,0.46153846153846156,12
,-105.88,25,MIA,15,spread,26,-6.955000000000004,25,-2647.0,0,unrated,-0.25816629547141806,bettingpros_experts,26.94,1,0.2554,0.4230769230769231,11
,-90.11538461538461,26,UTA,13,spread,26,-0.7060000000000003,26,-2343.0,0,unrated,-0.026471691038620182,dimers,26.67,0,0.3206,0.5,13
,-193.2,25,TOR,9,moneyline,25,0.1589999999999997,25,-4830.0,0,unrated,0.00499215070643641,bettingpros_experts,31.850000000000005,0,0.4452,0.64,16
,-69.8076923076923,26,MIL,17,spread,26,-9.532000000000002,26,-1815.0,1,unrated,-0.35875047045540087,bettingpros_experts,26.57,0,0.172,0.32,8
,-98.24,26,BKN,14,spread,27,-4.6979999999999995,25,-2456.0,2,unrated,-0.17588918008236612,dimers,26.710000000000004,1,0.2667,0.44,11
,-81.0,25,SAC,15,spread,25,-5.612999999999998,25,-2025.0,0,unrated,-0.21960093896713606,dimers,25.56,0,0.234,0.4,10
,-232.125,24,NYK,8,moneyline,24,2.726,24,-5571.0,0,unrated,0.0930058000682361,bettingpros_experts,29.31,0,0.4671,0.6666666666666666,16
,-114.69565217391305,24,POR,10,spread,24,2.0160000000000005,23,-2638.0,0,unrated,0.07744909719554362,bettingpros_experts,26.03,0,0.3883,0.5833333333333334,14
,-121.14285714285714,21,ATL,6,moneyline,23,5.302,21,-2544.0,0,unrated,0.214742810854597,bettingpros_experts,24.689999999999998,2,0.5353,0.7391304347826086,17
,-100.4,22,ATL,11,spread,23,-1.5149999999999995,20,-2008.0,0,unrated,-0.06446808510638295,bettingpros_experts,23.5,1,0.3296,0.5217391304347826,12
,-32.36363636363637,22,CLE,14,spread,23,-6.129000000000001,22,-712.0,0,unrated,-0.2767042889390519,bettingpros_experts,22.150000000000006,1,0.2216,0.391304347826087,9
,-105.47826086956522,23,HOU,10,spread,23,1.4170000000000003,23,-2426.0,0,unrated,0.057601626016260156,bettingpros_experts,24.60000000000001,0,0.3681,0.5652173913043478,13
,-46.04347826086956,23,NYK,13,spread,23,-3.1429999999999993,23,-1059.0,0,unrated,-0.13576673866090708,bettingpros_experts,23.150000000000006,0,0.2563,0.43478260869565216,10
,-61.68421052631579,20,DAL,12,spread,23,-4.346,19,-1172.0,0,unrated,-0.21387795275590554,dimers,20.319999999999997,3,0.2924,0.4782608695652174,11
,-106.21739130434783,23,IND,10,spread,23,0.9750000000000001,23,-2443.0,0,unrated,0.03893769968051118,sportsline,25.040000000000003,0,0.3681,0.5652173913043478,13
,-29.136363636363637,22,DAL,11,moneyline,22,-0.8569999999999995,22,-641.0,0,unrated,-0.03747267162221248,bettingpros_experts,22.87,0,0.3072,0.5,11
,-151.52631578947367,20,OKC,11,spread,22,-4.942000000000002,19,-2879.0,0,unrated,-0.21524390243902444,bettingpros_experts,22.960000000000004,2,0.3072,0.5,11
,-87.63636363636364,22,SAS,12,spread,22,-3.4399999999999995,22,-1928.0,0,unrated,-0.14669509594882724,bettingpros_experts,23.450000000000006,0,0.2692,0.45454545454545453,10
,-202.5,20,DEN,6,moneyline,21,3.186,20,-4050.0,0,unrated,0.1282608695652174,bettingpros_experts,24.84,1,0.5004,0.7142857142857143,15
,-178.95238095238096,21,GSW,10,moneyline,21,-2.3640000000000003,21,-3758.0,0,unrated,-0.09728395061728398,bettingpros_experts,24.299999999999997,0,0.3237,0.5238095238095238,11
,-346.5263157894737,20,LAL,5,moneyline,21,4.494,19,-6584.0,0,unrated,0.17630443311102392,bettingpros_experts,25.49,1,0.5491,0.7619047619047619,16
blocks,-72.55,21,OVER,13,player_prop,21,-6.905000000000001,20,-1451.0,0,unrated,-0.30179195804195813,bettingpros_experts,22.88,0,0.2075,0.38095238095238093,8
