avg_odds,bets_with_units,by_market,display_pair,expert_a,expert_b,losses,n,net_units,odds_count,odds_sum,pushes,roi,split_count,total_stake,units_missing_count,wilson_lower,win_pct,wins
,0,"{""player_prop"": {""losses"": 0, ""n"": 2, ""pushes"": 0, ""split_count"": 2, ""wilson_lower"": 0.3424, ""win_pct"": 1.0, ""wins"": 2}}",1979jbusy [bettingpros_experts] + Fizzy78 [bettingpros_experts],1979jbusy [bettingpros_experts],Fizzy78 [bettingpros_experts],0,2,0.0,0,0.0,0,,2,0.0,2,0.3424,1.0,2
,0,"{""player_prop"": {""losses"": 0, ""n"": 2, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.3424, ""win_pct"": 1.0, ""wins"": 2}}",1979jbusy [bettingpros_experts] + chefpadro74 [bettingpros_experts],1979jbusy [bettingpros_experts],chefpadro74 [bettingpros_experts],0,2,0.0,0,0.0,0,,0,0.0,2,0.3424,1.0,2
,0,"{""player_prop"": {""losses"": 0, ""n"": 2, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.3424, ""win_pct"": 1.0, ""wins"": 2}}",Alex Selesnick [sportsline] + carmenciorra [bettingpros_experts],Alex Selesnick [sportsline],carmenciorra [bettingpros_experts],0,2,0.0,0,0.0,0,,0,0.0,2,0.3424,1.0,2
,0,"{""player_prop"": {""losses"": 1, ""n"": 2, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.0945, ""win_pct"": 0.5, ""wins"": 1}}",Bdodson420 [bettingpros_experts] + KD850 [bettingpros_experts],Bdodson420 [bettingpros_experts],KD850 [bettingpros_experts],1,2,0.0,0,0.0,0,,0,0.0,2,0.0945,0.5,1
,0,"{""player_prop"": {""losses"": 2, ""n"": 2, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.0, ""win_pct"": 0.0, ""wins"": 0}}",Bdodson420 [bettingpros_experts] + bettor73790 [bettingpros_experts],Bdodson420 [bettingpros_experts],bettor73790 [bettingpros_experts],2,2,0.0,0,0.0,0,,0,0.0,2,0.0,0.0,0
,0,"{""spread"": {""losses"": 2, ""n"": 2, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.0, ""win_pct"": 0.0, ""wins"": 0}}",Bruce Marshall [sportsline] + Fizzy78 [bettingpros_experts],Bruce Marshall [sportsline],Fizzy78 [bettingpros_experts],2,2,0.0,0,0.0,0,,0,0.0,2,0.0,0.0,0
,0,"{""player_prop"": {""losses"": 0, ""n"": 2, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.3424, ""win_pct"": 1.0, ""wins"": 2}}",Fizzy78 [bettingpros_experts] + Mike Barner [sportsline],Fizzy78 [bettingpros_experts],Mike Barner [sportsline],0,2,0.0,0,0.0,0,,0,0.0,2,0.3424,1.0,2
,0,"{""player_prop"": {""losses"": 0, ""n"": 2, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.3424, ""win_pct"": 1.0, ""wins"": 2}}",Fizzy78 [bettingpros_experts] + Propmaster71 [bettingpros_experts],Fizzy78 [bettingpros_experts],Propmaster71 [bettingpros_experts],0,2,0.0,0,0.0,0,,0,0.0,2,0.3424,1.0,2
,0,"{""player_prop"": {""losses"": 1, ""n"": 2, ""pushes"": 0, ""split_count"": 1, ""wilson_lower"": 0.0945, ""win_pct"": 0.5, ""wins"": 1}}",Fizzy78 [bettingpros_experts] + craig.r.trujillo [bettingpros_experts],Fizzy78 [bettingpros_experts],craig.r.trujillo [bettingpros_experts],1,2,0.0,0,0.0,0,,1,0.0,2,0.0945,0.5,1
,0,"{""player_prop"": {""losses"": 0, ""n"": 2, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.3424, ""win_pct"": 1.0, ""wins"": 2}}",KD850 [bettingpros_experts] + Larry Hartstein [sportsline],KD850 [bettingpros_experts],Larry Hartstein [sportsline],0,2,0.0,0,0.0,0,,0,0.0,2,0.3424,1.0,2
,0,"{""player_prop"": {""losses"": 0, ""n"": 2, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.3424, ""win_pct"": 1.0, ""wins"": 2}}",KD850 [bettingpros_experts] + Pana10 [bettingpros_experts],KD850 [bettingpros_experts],Pana10 [bettingpros_experts],0,2,0.0,0,0.0,0,,0,0.0,2,0.3424,1.0,2
,0,"{""player_prop"": {""losses"": 0, ""n"": 2, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.3424, ""win_pct"": 1.0, ""wins"": 2}}",KD850 [bettingpros_experts] + chefpadro74 [bettingpros_experts],KD850 [bettingpros_experts],chefpadro74 [bettingpros_experts],0,2,0.0,0,0.0,0,,0,0.0,2,0.3424,1.0,2
,0,"{""moneyline"": {""losses"": 0, ""n"": 2, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.3424, ""win_pct"": 1.0, ""wins"": 2}}",Matt Severance [sportsline] + mypickswithnoresearch [bettingpros_experts],Matt Severance [sportsline],mypickswithnoresearch [bettingpros_experts],0,2,0.0,0,0.0,0,,0,0.0,2,0.3424,1.0,2
,0,"{""player_prop"": {""losses"": 1, ""n"": 2, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.0945, ""win_pct"": 0.5, ""wins"": 1}}",Mike Barner [sportsline] + chefpadro74 [bettingpros_experts],Mike Barner [sportsline],chefpadro74 [bettingpros_experts],1,2,0.0,0,0.0,0,,0,0.0,2,0.0945,0.5,1
,0,"{""player_prop"": {""losses"": 0, ""n"": 2, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.3424, ""win_pct"": 1.0, ""wins"": 2}}",Propmaster71 [bettingpros_experts] + TheDevil [bettingpros_experts],Propmaster71 [bettingpros_experts],TheDevil [bettingpros_experts],0,2,0.0,0,0.0,0,,0,0.0,2,0.3424,1.0,2
,0,"{""player_prop"": {""losses"": 1, ""n"": 2, ""pushes"": 0, ""split_count"": 1, ""wilson_lower"": 0.0945, ""win_pct"": 0.5, ""wins"": 1}}",Propmaster71 [bettingpros_experts] + akelder15 [bettingpros_experts],Propmaster71 [bettingpros_experts],akelder15 [bettingpros_experts],1,2,0.0,0,0.0,0,,1,0.0,2,0.0945,0.5,1
,0,"{""player_prop"": {""losses"": 0, ""n"": 2, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.3424, ""win_pct"": 1.0, ""wins"": 2}}",Propmaster71 [bettingpros_experts] + akelder15 [bettingpros_experts],Propmaster71 [bettingpros_experts],akelder15 [bettingpros_experts],0,2,0.0,0,0.0,0,,0,0.0,2,0.3424,1.0,2
,0,"{""player_prop"": {""losses"": 1, ""n"": 2, ""pushes"": 0, ""split_count"": 1, ""wilson_lower"": 0.0945, ""win_pct"": 0.5, ""wins"": 1}}",Propmaster71 [bettingpros_experts] + chefpadro74 [bettingpros_experts],Propmaster71 [bettingpros_experts],chefpadro74 [bettingpros_experts],1,2,0.0,0,0.0,0,,1,0.0,2,0.0945,0.5,1
,0,"{""player_prop"": {""losses"": 1, ""n"": 2, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.0945, ""win_pct"": 0.5, ""wins"": 1}}",Propmaster71 [bettingpros_experts] + parkerpaduck [bettingpros_experts],Propmaster71 [bettingpros_experts],parkerpaduck [bettingpros_experts],1,2,0.0,0,0.0,0,,0,0.0,2,0.0945,0.5,1
