atomic_stat,avg_odds,bets_with_units,direction,expert_name,losses,market_type,n,net_units,odds_count,odds_sum,pushes,roi,source_id,total_stake,units_missing_count,wilson_lower,win_pct,wins
,-110.28571428571429,7,HOU,Zack Cimini,3,spread,7,0.645,7,-772.0,0,0.08787465940054498,sportsline,7.339999999999999,0,0.2505,0.5714285714285714,4
,-110.4,6,MIA,Zack Cimini,3,spread,7,-0.24600000000000022,5,-552.0,0,-0.039297124600639013,sportsline,6.26,1,0.2505,0.5714285714285714,4
,-113.71428571428571,7,ORL,Zack Cimini,2,spread,7,2.559,7,-796.0,0,0.34348993288590607,sportsline,7.45,0,0.3589,0.7142857142857143,5
,-110.14285714285714,7,PHX,Zack Cimini,5,spread,7,-3.34,7,-771.0,0,-0.45504087193460485,sportsline,7.340000000000001,0,0.0822,0.2857142857142857,2
assists,28.75,8,UNDER,carmenciorra,3,player_prop,8,0.9520000000000002,8,230.0,1,0.12283870967741937,bettingpros_experts,7.75,0,0.2505,0.5714285714285714,4
,92.0,6,CLE,carmenciorra,5,spread,7,-3.028,6,552.0,0,-0.6019880715705765,bettingpros_experts,5.03,1,0.0822,0.2857142857142857,2
,-78.85714285714286,7,DAL,carmenciorra,6,spread,7,-5.2589999999999995,7,-552.0,0,-0.7253793103448276,bettingpros_experts,7.249999999999999,0,0.0257,0.14285714285714285,1
,-72.0,6,MIA,carmenciorra,5,spread,7,-4.148000000000001,6,-432.0,0,-0.67557003257329,bettingpros_experts,6.140000000000001,1,0.0822,0.2857142857142857,2
,-114.5,7,POR,carmenciorra,2,spread,7,2.615,6,-687.0,0,0.3529014844804319,bettingpros_experts,7.409999999999999,0,0.3589,0.7142857142857143,5
pts_ast,61.875,8,OVER,gordyscott88,4,player_prop,8,-0.6689999999999997,8,495.0,1,-0.08802631578947365,bettingpros_experts,7.6,0,0.1582,0.42857142857142855,3
threes,5.428571428571429,7,OVER,gordyscott88,3,player_prop,7,0.8100000000000002,7,38.0,0,0.11281337047353764,bettingpros_experts,7.18,0,0.2505,0.5714285714285714,4
